Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
142	TR	A0A8J4W101	4-coumarate--CoA ligase OS=Castanea mollissima OX=60419 GN=CMV_006432 PE=4 SV=1	Castanea mollissima	548	1705	61.9	77.0	0.0
143	TR	A0A0S3SCI5	4-coumarate--CoA ligase OS=Vigna angularis var. angularis OX=157739 GN=Vigan.06G177700 PE=4 SV=1	Vigna angularis var. angularis	551	1705	59.1	76.9	0.0
144	TR	A0A078I666	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA09g19890D PE=4 SV=1	Brassica napus	542	1705	60.5	78.5	0.0
145	TR	A0A445I2V9	4-coumarate--CoA ligase-like 7 isoform B OS=Glycine soja OX=3848 GN=D0Y65_030234 PE=4 SV=1	Glycine soja	548	1701	58.0	75.9	0.0
146	TR	A0A445I2Y1	4-coumarate--CoA ligase-like 7 isoform A OS=Glycine soja OX=3848 GN=D0Y65_030234 PE=4 SV=1	Glycine soja	558	1701	58.0	75.9	0.0
147	TR	I1LL16	4-coumarate--CoA ligase OS=Glycine max OX=3847 GN=100808944 PE=4 SV=1	Glycine max	548	1699	58.0	75.9	0.0
148	TR	A0A0R0HJB4	4-coumarate--CoA ligase OS=Glycine max OX=3847 GN=100808944 PE=4 SV=1	Glycine max	558	1699	58.0	75.9	0.0
149	TR	M5WDH6	4-coumarate--CoA ligase OS=Prunus persica OX=3760 GN=PRUPE_7G129300 PE=4 SV=1	Prunus persica	543	1698	60.9	76.6	0.0
150	TR	A0A315AE03	4-coumarate--CoA ligase-like 7 OS=Prunus yedoensis var. nudiflora OX=2094558 GN=Pyn_02373 PE=4 SV=1	Prunus yedoensis var. nudiflora	543	1698	60.8	76.5	0.0
151	TR	A0A6D2KGW3	4-coumarate--CoA ligase OS=Microthlaspi erraticum OX=1685480 GN=MERR_LOCUS34200 PE=4 SV=1	Microthlaspi erraticum	543	1697	59.9	77.6	0.0
152	TR	A0A151SAH6	4-coumarate--CoA ligase-like 7 OS=Cajanus cajan OX=3821 GN=KK1_026308 PE=4 SV=1	Cajanus cajan	539	1696	59.2	77.0	0.0
153	TR	A0A1S3VPY6	4-coumarate--CoA ligase-like 7 OS=Vigna radiata var. radiata OX=3916 GN=LOC106777374 PE=4 SV=1	Vigna radiata var. radiata	552	1695	59.2	76.1	0.0
154	TR	A0A8B8KCK9	4-coumarate--CoA ligase-like 7 isoform X1 OS=Abrus precatorius OX=3816 GN=LOC113854607 PE=4 SV=1	Abrus precatorius	538	1694	59.8	77.0	0.0
155	TR	I1LL15	4-coumarate--CoA ligase OS=Glycine max OX=3847 GN=100808944 PE=4 SV=1	Glycine max	557	1694	57.3	74.9	0.0
156	TR	A0A8B8KW47	4-coumarate--CoA ligase-like 7 OS=Abrus precatorius OX=3816 GN=LOC113858955 PE=4 SV=1	Abrus precatorius	536	1692	59.4	76.1	0.0
157	TR	A0A445IDI9	4-coumarate--CoA ligase-like 7 isoform B OS=Glycine soja OX=3848 GN=D0Y65_032420 PE=4 SV=1	Glycine soja	547	1690	59.6	77.5	0.0
158	TR	A0A6J5XZN6	4-coumarate--CoA ligase OS=Prunus armeniaca OX=36596 GN=CURHAP_LOCUS45306 PE=4 SV=1	Prunus armeniaca	543	1689	60.6	76.5	0.0
159	TR	A0A565C2P3	4-coumarate--CoA ligase OS=Arabis nemorensis OX=586526 GN=ANE_LOCUS18291 PE=4 SV=1	Arabis nemorensis	543	1688	59.7	77.9	0.0
160	TR	A0A835LR04	4-coumarate--CoA ligase (Fragment) OS=Coptis chinensis OX=261450 GN=IFM89_009714 PE=4 SV=1	Coptis chinensis	996	1688	60.8	76.3	0.0
161	TR	A0A5N6NZZ4	Uncharacterized protein OS=Mikania micrantha OX=192012 GN=E3N88_16391 PE=4 SV=1	Mikania micrantha	538	1688	60.6	76.8	0.0
162	TR	A0A059D9T8	AMP-dependent synthetase/ligase domain-containing protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_B03942 PE=4 SV=1	Eucalyptus grandis	626	1688	60.5	77.0	0.0
163	TR	A0A7N0URK9	4-coumarate--CoA ligase OS=Kalanchoe fedtschenkoi OX=63787 PE=4 SV=1	Kalanchoe fedtschenkoi	545	1688	59.1	77.3	0.0
164	TR	A0A5E4E394	PREDICTED: 4-coumarate--CoA ligase OS=Prunus dulcis OX=3755 GN=ALMOND_2B021214 PE=4 SV=1	Prunus dulcis	545	1686	60.9	76.4	0.0
165	TR	A0A6J1J0P0	4-coumarate--CoA ligase-like 7 OS=Cucurbita maxima OX=3661 GN=LOC111481607 PE=4 SV=1	Cucurbita maxima	545	1686	60.7	76.6	0.0
166	TR	A0A4P1RA03	4-coumarate--CoA ligase OS=Lupinus angustifolius OX=3871 GN=TanjilG_23608 PE=4 SV=1	Lupinus angustifolius	542	1684	58.6	76.8	0.0
167	TR	A0A164Z8Y6	ABC transporter domain-containing protein OS=Daucus carota subsp. sativus OX=79200 GN=DCAR_018780 PE=4 SV=1	Daucus carota subsp. sativus	1120	1683	59.3	76.0	0.0
168	TR	A0A2H9ZXN4	4-coumarate--CoA ligase OS=Apostasia shenzhenica OX=1088818 GN=4CLL7 PE=4 SV=1	Apostasia shenzhenica	543	1681	59.9	77.9	0.0
169	TR	A0A804K619	4-coumarate--CoA ligase OS=Musa acuminata subsp. malaccensis OX=214687 GN=GSMUA_346580.1 PE=4 SV=1	Musa acuminata subsp. malaccensis	543	1681	61.1	77.6	0.0
170	TR	A0A5A7TKZ4	4-coumarate--CoA ligase-like 7 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold352G002730 PE=4 SV=1	Cucumis melo var. makuwa	545	1678	60.5	76.8	0.0
171	TR	A0A1S3B5U8	4-coumarate--CoA ligase-like 7 OS=Cucumis melo OX=3656 GN=LOC103486502 PE=4 SV=1	Cucumis melo	545	1678	60.5	76.8	0.0
172	TR	A0A5N5GGM7	4-coumarate--CoA ligase-like 7 OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_021237 PE=4 SV=1	Pyrus ussuriensis x Pyrus communis	545	1677	59.5	75.8	0.0
173	TR	A0A199VGP1	4-coumarate--CoA ligase OS=Ananas comosus OX=4615 GN=ACMD2_25769 PE=4 SV=1	Ananas comosus	550	1677	61.4	76.6	0.0
174	TR	A0A2Z6NSM8	4-coumarate--CoA ligase OS=Trifolium subterraneum OX=3900 GN=TSUD_107600 PE=4 SV=1	Trifolium subterraneum	541	1676	59.4	76.1	0.0
175	TR	A0A540MZ24	4-coumarate--CoA ligase OS=Malus baccata OX=106549 GN=C1H46_010426 PE=4 SV=1	Malus baccata	571	1672	57.5	73.3	0.0
176	TR	A0A5A7PKV4	4-coumarate--CoA ligase family protein OS=Striga asiatica OX=4170 GN=STAS_09649 PE=4 SV=1	Striga asiatica	534	1672	59.9	74.8	0.0
177	TR	A0A2K3PPQ7	4-coumarate-CoA ligase 7-like protein OS=Trifolium pratense OX=57577 GN=L195_g014008 PE=4 SV=1	Trifolium pratense	540	1671	59.0	76.2	0.0
178	TR	A0A2Z7BF92	4-coumarate--CoA ligase-like 7-like OS=Dorcoceras hygrometricum OX=472368 GN=F511_14470 PE=4 SV=1	Dorcoceras hygrometricum	530	1669	59.0	75.7	0.0
179	TR	A0A1S2XC32	4-coumarate--CoA ligase-like 7 OS=Cicer arietinum OX=3827 GN=LOC101500143 PE=4 SV=1	Cicer arietinum	539	1669	60.0	76.4	0.0
180	TR	A0A0A0LDK0	4-coumarate--CoA ligase OS=Cucumis sativus OX=3659 GN=Csa_3G740270 PE=4 SV=1	Cucumis sativus	545	1669	60.1	76.8	0.0
181	TR	A0A8T1PAV6	4-coumarate--CoA ligase OS=Carya illinoinensis OX=32201 GN=CIPAW_10G129400 PE=4 SV=1	Carya illinoinensis	544	1668	58.7	77.3	0.0
182	TR	A0A6P9ET53	4-coumarate--CoA ligase-like 7 OS=Juglans regia OX=51240 GN=LOC108982339 PE=4 SV=1	Juglans regia	542	1666	59.8	77.1	0.0
183	TR	V7AHH4	4-coumarate--CoA ligase-like 7 OS=Phaseolus vulgaris OX=3885 GN=PHAVU_011G084300g PE=4 SV=1	Phaseolus vulgaris	548	1666	57.9	75.2	0.0
184	TR	A0A8T2WDY2	4-coumarate--CoA ligase OS=Populus deltoides OX=3696 GN=H0E87_031367 PE=4 SV=1	Populus deltoides	543	1665	63.0	78.6	0.0
185	TR	A0A078I937	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA09g19900D PE=4 SV=1	Brassica napus	539	1664	58.3	76.8	0.0
186	TR	A0A6P4B3U5	Probable CoA ligase CCL7 OS=Arachis duranensis OX=130453 GN=LOC107461745 PE=4 SV=1	Arachis duranensis	545	1662	57.5	76.0	0.0
187	TR	A0A445BW30	4-coumarate--CoA ligase OS=Arachis hypogaea OX=3818 GN=Ahy_A08g039365 PE=4 SV=1	Arachis hypogaea	545	1662	57.5	76.0	0.0
188	TR	A0A8X8ZSS5	4-coumarate--CoA ligase OS=Salvia splendens OX=180675 GN=SASPL_122772 PE=4 SV=1	Salvia splendens	544	1661	59.9	75.5	0.0
189	TR	A0A804J771	4-coumarate--CoA ligase OS=Musa acuminata subsp. malaccensis OX=214687 GN=GSMUA_274020.1 PE=4 SV=1	Musa acuminata subsp. malaccensis	544	1659	59.7	76.3	0.0
190	TR	A0A078HQV5	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaC09g21910D PE=4 SV=1	Brassica napus	539	1658	58.3	76.4	0.0
191	TR	A0A444Y7M1	4-coumarate--CoA ligase OS=Arachis hypogaea OX=3818 GN=Ahy_B08g094024 PE=4 SV=1	Arachis hypogaea	551	1658	57.3	75.8	0.0
192	TR	A0A6A3B2I2	4-coumarate--CoA ligase-like 7 OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110319pilonHSYRG00533 PE=4 SV=1	Hibiscus syriacus	515	1656	58.3	75.5	0.0
193	TR	A0A087GQR9	4-coumarate--CoA ligase OS=Arabis alpina OX=50452 GN=AALP_Aa6g213500 PE=4 SV=1	Arabis alpina	542	1654	58.7	76.1	0.0
194	TR	A0A2P5BJU6	4-coumarate-CoA ligase OS=Parasponia andersonii OX=3476 GN=PanOPCL4 PE=4 SV=1	Parasponia andersonii	543	1654	59.7	75.5	0.0
195	TR	A0A6J0L4D4	4-coumarate--CoA ligase-like 7 isoform X1 OS=Raphanus sativus OX=3726 GN=LOC108825885 PE=4 SV=1	Raphanus sativus	539	1653	58.1	76.4	0.0
196	TR	A0A072UJR1	4-coumarate:CoA ligase-like protein OS=Medicago truncatula OX=3880 GN=25492399 PE=4 SV=1	Medicago truncatula	542	1651	58.4	75.1	0.0
197	TR	A0A2P5FVC4	4-coumarate-CoA ligase OS=Trema orientale OX=63057 GN=TorOPCL4 PE=4 SV=1	Trema orientale	546	1650	60.6	75.7	0.0
198	TR	A0A251VIB7	Putative AMP-dependent synthetase and ligase family protein OS=Helianthus annuus OX=4232 GN=HannXRQ_Chr02g0055421 PE=4 SV=1	Helianthus annuus	538	1647	59.7	75.2	0.0
199	TR	A0A0L9TEL9	Uncharacterized protein OS=Phaseolus angularis OX=3914 GN=LR48_Vigan598s000200 PE=4 SV=1	Phaseolus angularis	537	1647	57.9	75.4	0.0
200	TR	S8CZ23	Uncharacterized protein (Fragment) OS=Genlisea aurea OX=192259 GN=M569_04447 PE=4 SV=1	Genlisea aurea	540	1643	58.7	76.0	0.0
201	TR	A0A4S8JXV6	4-coumarate--CoA ligase OS=Musa balbisiana OX=52838 GN=C4D60_Mb05t21540 PE=4 SV=1	Musa balbisiana	544	1640	59.1	75.5	0.0
202	TR	A0A6A6LJH4	Uncharacterized protein OS=Hevea brasiliensis OX=3981 GN=GH714_014851 PE=4 SV=1	Hevea brasiliensis	525	1638	58.1	73.3	0.0
203	TR	A0A5J4ZM19	Uncharacterized protein OS=Nyssa sinensis OX=561372 GN=F0562_016510 PE=4 SV=1	Nyssa sinensis	544	1638	58.5	76.9	0.0
204	TR	A0A5A7Q2S0	4-coumarate--CoA ligase family protein OS=Striga asiatica OX=4170 GN=STAS_16059 PE=4 SV=1	Striga asiatica	631	1637	61.9	77.5	0.0
205	TR	A0A833QS46	4-coumarate--CoA ligase OS=Carex littledalei OX=544730 GN=FCM35_KLT06800 PE=4 SV=1	Carex littledalei	549	1636	59.6	76.5	0.0
206	TR	A0A8T1PDN8	4-coumarate--CoA ligase OS=Carya illinoinensis OX=32201 GN=CIPAW_10G129300 PE=4 SV=1	Carya illinoinensis	584	1634	57.8	76.2	0.0
207	TR	A0A0D2QKS3	4-coumarate--CoA ligase-like 7 OS=Gossypium raimondii OX=29730 GN=B456_003G144900 PE=4 SV=1	Gossypium raimondii	517	1634	60.7	76.6	0.0
208	TR	A0A843UBW2	4-coumarate--CoA ligase OS=Colocasia esculenta OX=4460 GN=Taro_011190 PE=4 SV=1	Colocasia esculenta	547	1630	58.2	76.6	0.0
209	TR	A0A199W501	4-coumarate--CoA ligase OS=Ananas comosus OX=4615 GN=ACMD2_21649 PE=4 SV=1	Ananas comosus	526	1630	60.1	75.8	0.0
210	TR	A0A5N6RJZ4	AMP-dependent synthetase/ligase domain-containing protein OS=Carpinus fangiana OX=176857 GN=FH972_017620 PE=4 SV=1	Carpinus fangiana	541	1630	58.1	75.3	0.0
211	TR	A0A2U1MZN2	AMP-binding, conserved site-containing protein OS=Artemisia annua OX=35608 GN=CTI12_AA325700 PE=4 SV=1	Artemisia annua	538	1630	58.2	75.7	0.0
212	TR	A0A059A7S0	4-coumarate--CoA ligase OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_K02929 PE=4 SV=1	Eucalyptus grandis	549	1627	60.1	74.9	0.0
213	TR	W9S512	4-coumarate--CoA ligase-like 7 OS=Morus notabilis OX=981085 GN=L484_002716 PE=4 SV=1	Morus notabilis	547	1623	59.6	75.6	0.0
214	TR	A0A059A6N2	4-coumarate--CoA ligase OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_K02927 PE=4 SV=1	Eucalyptus grandis	548	1623	61.1	75.1	0.0
215	TR	A0A2U1MZH0	AMP-binding, conserved site-containing protein OS=Artemisia annua OX=35608 GN=CTI12_AA325700 PE=4 SV=1	Artemisia annua	538	1623	58.0	75.5	0.0
216	TR	B9S0G8	AMP dependent CoA ligase, putative OS=Ricinus communis OX=3988 GN=RCOM_1354540 PE=4 SV=1	Ricinus communis	543	1622	59.6	75.8	0.0
217	TR	A0A7J9DMR4	4-coumarate--CoA ligase-like 7 OS=Gossypium trilobum OX=34281 GN=Gotri_024531 PE=4 SV=1	Gossypium trilobum	554	1621	60.2	76.2	0.0
218	TR	A0A843U5L3	4-coumarate--CoA ligase OS=Colocasia esculenta OX=4460 GN=Taro_011192 PE=4 SV=1	Colocasia esculenta	547	1618	58.1	75.8	0.0
219	TR	A0A8X8XS91	4-coumarate--CoA ligase OS=Salvia splendens OX=180675 GN=SASPL_120074 PE=4 SV=1	Salvia splendens	551	1617	58.2	74.6	0.0
220	TR	A0A9R1VD03	Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C600315850 PE=4 SV=1	Lactuca sativa	540	1614	57.2	76.1	0.0
221	TR	A0A9R1VAP0	Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C600315820 PE=4 SV=1	Lactuca sativa	538	1614	57.5	75.5	0.0
222	TR	A0A835U9W3	4-coumarate--CoA ligase OS=Vanilla planifolia OX=51239 GN=HPP92_026019 PE=4 SV=1	Vanilla planifolia	546	1614	57.3	76.5	0.0
223	TR	A0A0D2QTJ7	4-coumarate--CoA ligase-like 7 OS=Gossypium raimondii OX=29730 GN=B456_003G144900 PE=4 SV=1	Gossypium raimondii	518	1614	60.2	76.4	0.0
224	TR	A0A2U1MZK7	AMP-binding, conserved site-containing protein OS=Artemisia annua OX=35608 GN=CTI12_AA325700 PE=4 SV=1	Artemisia annua	537	1611	58.0	75.5	0.0
225	SP	M4IQS1	Probable CoA ligase CCL10 OS=Humulus lupulus OX=3486 GN=CCL10 PE=2 SV=1	Humulus lupulus	543	1609	58.0	74.6	0.0
226	TR	A0A8B8PRE5	4-coumarate--CoA ligase-like 7 OS=Rhodamnia argentea OX=178133 GN=LOC115745880 PE=4 SV=1	Rhodamnia argentea	549	1609	59.4	74.5	0.0
227	TR	A0A251VKR8	AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein OS=Helianthus annuus OX=4232 GN=HannXRQ_Chr02g0055431 PE=4 SV=1	Helianthus annuus	574	1608	58.8	73.2	0.0
228	TR	A0A8T3BKH3	4-coumarate--CoA ligase OS=Dendrobium nobile OX=94219 GN=KFK09_009842 PE=4 SV=1	Dendrobium nobile	536	1605	56.9	75.1	0.0
229	TR	A0A2U1KAE0	AMP-binding, conserved site-containing protein OS=Artemisia annua OX=35608 GN=CTI12_AA622090 PE=4 SV=1	Artemisia annua	539	1603	57.7	74.3	0.0
230	TR	A0A7J8U208	4-coumarate--CoA ligase-like 7 OS=Gossypium klotzschianum OX=34286 GN=Goklo_028659 PE=4 SV=1	Gossypium klotzschianum	530	1599	58.7	74.4	0.0
231	TR	A0A834LY56	4-coumarate--CoA ligase OS=Rhododendron simsii OX=118357 GN=RHSIM_Rhsim01G0211600 PE=4 SV=1	Rhododendron simsii	1693	1597	59.8	77.7	0.0
232	TR	K4A827	4-coumarate--CoA ligase OS=Setaria italica OX=4555 GN=101781746 PE=4 SV=1	Setaria italica	546	1595	58.6	75.2	0.0
233	TR	A0A4U6TL96	4-coumarate--CoA ligase OS=Setaria viridis OX=4556 GN=SEVIR_9G541400v2 PE=4 SV=1	Setaria viridis	546	1594	58.6	75.0	0.0
234	TR	F6HKB4	4-coumarate--CoA ligase-like 7 OS=Vitis vinifera OX=29760 GN=VIT_08s0007g05050 PE=4 SV=1	Vitis vinifera	530	1593	59.4	75.5	0.0
235	TR	A0A4P1RPV1	4-coumarate--CoA ligase OS=Lupinus angustifolius OX=3871 GN=TanjilG_04318 PE=4 SV=1	Lupinus angustifolius	538	1586	56.4	73.9	0.0
236	TR	A0A8T0N5P7	4-coumarate--CoA ligase OS=Panicum virgatum OX=38727 GN=PVAP13_9NG744300 PE=4 SV=1	Panicum virgatum	553	1580	58.8	74.7	0.0
237	TR	A0A7I8L214	Uncharacterized protein OS=Spirodela intermedia OX=51605 GN=SI8410_10014036 PE=4 SV=1	Spirodela intermedia	545	1578	56.5	75.3	0.0
238	TR	A0A7N0URG4	4-coumarate--CoA ligase OS=Kalanchoe fedtschenkoi OX=63787 PE=4 SV=1	Kalanchoe fedtschenkoi	540	1578	56.4	75.0	0.0
239	TR	A0A8S0VDQ2	4-coumarate-- ligase-like 7 OS=Olea europaea subsp. europaea OX=158383 GN=OLEA9_A083915 PE=4 SV=1	Olea europaea subsp. europaea	626	1575	59.9	77.2	0.0
240	TR	A0A1B6QQG1	4-coumarate--CoA ligase OS=Sorghum bicolor OX=4558 GN=SORBI_3001G500800 PE=4 SV=1	Sorghum bicolor	553	1574	57.7	74.3	0.0
241	TR	A0A445E4U5	4-coumarate--CoA ligase-like OS=Arachis hypogaea OX=3818 GN=Ahy_A03g016939 PE=4 SV=1	Arachis hypogaea	544	1572	56.3	73.9	0.0
242	TR	A0A2T7CHL3	4-coumarate--CoA ligase OS=Panicum hallii var. hallii OX=1504633 GN=GQ55_9G610900 PE=4 SV=1	Panicum hallii var. hallii	553	1572	58.5	74.9	0.0
243	TR	A0A7N0R994	4-coumarate--CoA ligase OS=Kalanchoe fedtschenkoi OX=63787 PE=4 SV=1	Kalanchoe fedtschenkoi	536	1571	57.0	74.4	0.0
244	TR	A0A8T0NZ36	4-coumarate--CoA ligase OS=Panicum virgatum OX=38727 GN=PVAP13_9KG593100 PE=4 SV=1	Panicum virgatum	555	1570	58.1	74.9	0.0
245	TR	A0A6P5N671	Probable CoA ligase CCL7 OS=Arachis duranensis OX=130453 GN=LOC107476481 PE=4 SV=1	Arachis duranensis	544	1563	56.1	73.6	0.0
246	TR	A0A096S078	4-coumarate--CoA ligase OS=Zea mays OX=4577 GN=100191850 PE=4 SV=1	Zea mays	555	1560	57.2	73.5	0.0
247	TR	A0A2I0XAV2	4-coumarate--CoA ligase-like 7 OS=Dendrobium catenatum OX=906689 GN=4CLL7 PE=4 SV=1	Dendrobium catenatum	601	1551	57.9	76.7	0.0
248	TR	A0A8I6XT03	4-coumarate--CoA ligase OS=Hordeum vulgare subsp. vulgare OX=112509 PE=4 SV=1	Hordeum vulgare subsp. vulgare	545	1549	56.2	73.7	0.0
249	TR	A0A8B8KCK7	4-coumarate--CoA ligase-like 7 isoform X2 OS=Abrus precatorius OX=3816 GN=LOC113854607 PE=4 SV=1	Abrus precatorius	505	1547	58.6	75.1	0.0
250	TR	A0A5J9WJE5	4-coumarate--CoA ligase OS=Eragrostis curvula OX=38414 GN=EJB05_07982 PE=4 SV=1	Eragrostis curvula	546	1546	57.9	73.3	0.0
