"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn10.1201",4715,"camphor resistance CrcB family protein [0.970]","camphor resistance CrcB family protein","CRCB (PF02537) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.1248",7729,"ATP-dependent DNA helicase MPH1 [0.654] | ATP-dependent DNA helicase mph1 [0.192] | DEAD/DEAH box RNA helicase family protein [0.154]","DEAD/DEAH box RNA helicase family protein ","Helicase_C (PF00271) [0.538] | DEAD (PF00270) [0.346] | ResIII (PF04851) [0.346] | Transferase (PF02458) [0.038]","ATP binding (GO:0005524) [0.808] | nucleic acid binding (GO:0003676) [0.615] | helicase activity (GO:0004386) [0.538] | ATP-dependent helicase activity (GO:0008026) [0.346] | hydrolase activity (GO:0016787) [0.346] | DNA binding (GO:0003677) [0.346] | transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [0.038]","NULL / Representative annotation below 0.1%","3"
"Pn10.1284",2503,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]","5"
"Pn10.1298",11730,"Replication factor C subunit 3 [1.000]","Unkown protein(s) / No TAIR description(s)","Rep_fac_C (PF08542) [0.286] | RuvB_N (PF05496) [0.143]","four-way junction helicase activity (GO:0009378) [0.143]","DNA recombination (GO:0006310) [0.143] | DNA repair (GO:0006281) [0.143]","6"
"Pn10.1345",1275,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [1.000]","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | NDR1/HIN1-like 1 | NDR1/HIN1-like 12","LEA_2 (PF03168) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.1369",419,"Leucine-rich repeat protein kinase family protein [0.936] | Protein kinase superfamily protein [0.028] | Receptor-like protein kinase [0.009] | Leucine-rich receptor-like protein kinase family protein [0.009] | Leucine-rich repeat receptor-like protein kinase family protein [0.009] | protein kinase family protein [0.009]","Leucine-rich repeat protein kinase family protein","Pkinase_Tyr (PF07714) [0.697] | LRR_1 (PF00560) [0.523] | LRRNT_2 (PF08263) [0.294] | Pkinase (PF00069) [0.284] | LRR_4 (PF12799) [0.165] | LRR_8 (PF13855) [0.147] | LRR_6 (PF13516) [0.009] | LRR_7 (PF13504) [0.009]","protein kinase activity (GO:0004672) [0.963] | protein binding (GO:0005515) [0.523] | ATP binding (GO:0005524) [0.284]","protein phosphorylation (GO:0006468) [0.963]","3"
"Pn10.1384",186,"alpha/beta-Hydrolases superfamily protein [1.000]","alpha/beta-Hydrolases superfamily protein | carboxyesterase 13","Abhydrolase_3 (PF07859) [1.000] | PAH (PF02671) [0.006] | zf-RVT (PF13966) [0.006]","hydrolase activity (GO:0016787) [1.000]","metabolic process (GO:0008152) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [0.006]","5"
"Pn10.1398",559,"Calcium-binding EF-hand family protein [0.309] | EF hand calcium-binding protein family [0.082] | Calcium-binding EF hand family protein [0.021] | ARF-GAP domain 11 [0.010] | calmodulin 7 [0.010] | calmodulin-like 38 [0.010]","Unkown protein(s) / No TAIR description(s)","EF-hand_5 (PF13202) [0.536] | EF-hand_7 (PF13499) [0.268] | EF-hand_1 (PF00036) [0.196] | EF-hand_6 (PF13405) [0.093] | EF-hand_8 (PF13833) [0.031]","calcium ion binding (GO:0005509) [0.959]","NULL / Representative annotation below 0.1%","5"
"Pn10.1400",559,"Calcium-binding EF-hand family protein [0.309] | EF hand calcium-binding protein family [0.082] | Calcium-binding EF hand family protein [0.021] | ARF-GAP domain 11 [0.010] | calmodulin 7 [0.010] | calmodulin-like 38 [0.010]","Unkown protein(s) / No TAIR description(s)","EF-hand_5 (PF13202) [0.536] | EF-hand_7 (PF13499) [0.268] | EF-hand_1 (PF00036) [0.196] | EF-hand_6 (PF13405) [0.093] | EF-hand_8 (PF13833) [0.031]","calcium ion binding (GO:0005509) [0.959]","NULL / Representative annotation below 0.1%","5"
"Pn10.1401",559,"Calcium-binding EF-hand family protein [0.309] | EF hand calcium-binding protein family [0.082] | Calcium-binding EF hand family protein [0.021] | ARF-GAP domain 11 [0.010] | calmodulin 7 [0.010] | calmodulin-like 38 [0.010]","Unkown protein(s) / No TAIR description(s)","EF-hand_5 (PF13202) [0.536] | EF-hand_7 (PF13499) [0.268] | EF-hand_1 (PF00036) [0.196] | EF-hand_6 (PF13405) [0.093] | EF-hand_8 (PF13833) [0.031]","calcium ion binding (GO:0005509) [0.959]","NULL / Representative annotation below 0.1%","5"
"Pn10.1411",119,"nucleobase-ascorbate transporter 7 [0.982] | nucleobase-ascorbate transporter 8 [0.009] | Nucleobase-ascorbate transporter 3 [0.005] | Nucleobase-ascorbate transporter 1 [0.005]","Xanthine/uracil permease family protein | nucleobase-ascorbate transporter 8 | nucleobase-ascorbate transporter 7","Xan_ur_permease (PF00860) [1.000] | Sugar_tr (PF00083) [0.005]","transporter activity (GO:0005215) [1.000] | transmembrane transporter activity (GO:0022857) [0.005]","transport (GO:0006810) [1.000] | transmembrane transport (GO:0055085) [1.000]","1"
"Pn10.1424",825,"Heat stress transcription factor B-4 [0.309] | Heat stress transcription factor B-1 [0.296] | Heat stress transcription factor B-4b [0.272] | Heat stress transcription factor B-4c [0.062] | Heat stress transcription factor B-4d [0.049] | Heat stress transcription factor B-2c [0.012]","heat shock transcription factor  B4 | heat shock factor 4","HSF_DNA-bind (PF00447) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","1"
"Pn10.1443",559,"Calcium-binding EF-hand family protein [0.309] | EF hand calcium-binding protein family [0.082] | Calcium-binding EF hand family protein [0.021] | ARF-GAP domain 11 [0.010] | calmodulin 7 [0.010] | calmodulin-like 38 [0.010]","Unkown protein(s) / No TAIR description(s)","EF-hand_5 (PF13202) [0.536] | EF-hand_7 (PF13499) [0.268] | EF-hand_1 (PF00036) [0.196] | EF-hand_6 (PF13405) [0.093] | EF-hand_8 (PF13833) [0.031]","calcium ion binding (GO:0005509) [0.959]","NULL / Representative annotation below 0.1%","5"
"Pn10.1446",559,"Calcium-binding EF-hand family protein [0.309] | EF hand calcium-binding protein family [0.082] | Calcium-binding EF hand family protein [0.021] | ARF-GAP domain 11 [0.010] | calmodulin 7 [0.010] | calmodulin-like 38 [0.010]","Unkown protein(s) / No TAIR description(s)","EF-hand_5 (PF13202) [0.536] | EF-hand_7 (PF13499) [0.268] | EF-hand_1 (PF00036) [0.196] | EF-hand_6 (PF13405) [0.093] | EF-hand_8 (PF13833) [0.031]","calcium ion binding (GO:0005509) [0.959]","NULL / Representative annotation below 0.1%","5"
"Pn10.1458",119,"nucleobase-ascorbate transporter 7 [0.982] | nucleobase-ascorbate transporter 8 [0.009] | Nucleobase-ascorbate transporter 3 [0.005] | Nucleobase-ascorbate transporter 1 [0.005]","Xanthine/uracil permease family protein | nucleobase-ascorbate transporter 8 | nucleobase-ascorbate transporter 7","Xan_ur_permease (PF00860) [1.000] | Sugar_tr (PF00083) [0.005]","transporter activity (GO:0005215) [1.000] | transmembrane transporter activity (GO:0022857) [0.005]","transport (GO:0006810) [1.000] | transmembrane transport (GO:0055085) [1.000]","1"
"Pn10.1473",825,"Heat stress transcription factor B-4 [0.309] | Heat stress transcription factor B-1 [0.296] | Heat stress transcription factor B-4b [0.272] | Heat stress transcription factor B-4c [0.062] | Heat stress transcription factor B-4d [0.049] | Heat stress transcription factor B-2c [0.012]","heat shock transcription factor  B4 | heat shock factor 4","HSF_DNA-bind (PF00447) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","1"
"Pn10.149",1681,"DEAD-box ATP-dependent RNA helicase 46 [0.362] | DEAD-box ATP-dependent RNA helicase 40 [0.362] | DEAD-box ATP-dependent RNA helicase 14 [0.276]","DEAD box RNA helicase family protein | DEAD box RNA helicase 1","DEAD (PF00270) [1.000] | Helicase_C (PF00271) [1.000] | WW (PF00397) [0.741] | PPR (PF01535) [0.017] | Myb_DNA-bind_6 (PF13921) [0.017] | PPR_3 (PF13812) [0.017]","ATP-dependent helicase activity (GO:0008026) [1.000] | ATP binding (GO:0005524) [1.000] | nucleic acid binding (GO:0003676) [1.000] | helicase activity (GO:0004386) [1.000] | protein binding (GO:0005515) [0.741]","NULL / Representative annotation below 0.1%","3"
"Pn10.1501",3731,"protein-protein interaction regulator family protein [1.000]","protein-protein interaction regulator family protein","Pinin_SDK_memA (PF04696) [0.974]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn10.1503",243,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1644)","DUF1644 (PF07800) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn10.1525",3169,"Outer arm dynein light chain 1 protein [0.951] | alcohol dehydrogenase 1 [0.024] | alpha/beta-Hydrolases superfamily protein [0.024]","Outer arm dynein light chain 1 protein","LRR_4 (PF12799) [0.854] | LRR_6 (PF13516) [0.488] | LRR_8 (PF13855) [0.220] | LRR_1 (PF00560) [0.146] | Abhydrolase_6 (PF12697) [0.024] | ADH_zinc_N (PF00107) [0.024] | ADH_N (PF08240) [0.024]","protein binding (GO:0005515) [0.146] | oxidoreductase activity (GO:0016491) [0.024] | zinc ion binding (GO:0008270) [0.024]","oxidation-reduction process (GO:0055114) [0.024]","4"
"Pn10.156",3413,"Glutaredoxin family protein [1.000]","Glutaredoxin family protein | Thioredoxin superfamily protein","Glutaredoxin (PF00462) [1.000]","electron carrier activity (GO:0009055) [1.000] | protein disulfide oxidoreductase activity (GO:0015035) [1.000]","cell redox homeostasis (GO:0045454) [1.000]","2"
"Pn10.1563",457,"cytochrome P450, family 82, subfamily C, polypeptide 4 [0.714] | cytochrome P450, family 82, subfamily C, polypeptide 2 [0.181] | Cytochrome P450 superfamily protein [0.057] | cytochrome P450, family 82, subfamily F, polypeptide 1 [0.029] | cytochrome P450, family 82, subfamily C, polypeptide 3 [0.019]","cytochrome P450, family 82, subfamily C, polypeptide 4 | cytochrome P450, family 82, subfamily C, polypeptide 2 | cytochrome P450, family 82, subfamily F, polypeptide 1 | cytochrome P450, family 82, subfamily C, polypeptide 3","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn10.1566",457,"cytochrome P450, family 82, subfamily C, polypeptide 4 [0.714] | cytochrome P450, family 82, subfamily C, polypeptide 2 [0.181] | Cytochrome P450 superfamily protein [0.057] | cytochrome P450, family 82, subfamily F, polypeptide 1 [0.029] | cytochrome P450, family 82, subfamily C, polypeptide 3 [0.019]","cytochrome P450, family 82, subfamily C, polypeptide 4 | cytochrome P450, family 82, subfamily C, polypeptide 2 | cytochrome P450, family 82, subfamily F, polypeptide 1 | cytochrome P450, family 82, subfamily C, polypeptide 3","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn10.1631",5080,"Auxin efflux carrier family protein [1.000]","Auxin efflux carrier family protein","Mem_trans (PF03547) [1.000]","NULL / Representative annotation below 0.1%","transmembrane transport (GO:0055085) [1.000]","1"
"Pn10.165",598,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase_Tyr (PF07714) [0.905] | Pkinase (PF00069) [0.095]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.095]","protein phosphorylation (GO:0006468) [1.000]","4"
"Pn10.1766",2522,"Charged multivesicular body protein 4 [0.426] | Charged multivesicular body protein 4b [0.234] | Vacuolar-sorting protein SNF7 [0.149] | Charged multivesicular body protein 4a [0.106] | Vacuolar-sorting protein snf7 [0.064] | Charged multivesicular body protein 4c [0.021]","SNF7 family protein","Snf7 (PF03357) [1.000]","NULL / Representative annotation below 0.1%","protein transport (GO:0015031) [1.000]","2"
"Pn10.1813",11696,"U-box domain-containing protein 43 [0.857] | Armadillo/beta-catenin-like repeat family protein [0.071] | U-box domain-containing protein 44 [0.071]","Unkown protein(s) / No TAIR description(s)","U-box (PF04564) [0.929] | Arm (PF00514) [0.286] | Arm_2 (PF04826) [0.071]","ubiquitin-protein ligase activity (GO:0004842) [0.929] | protein binding (GO:0005515) [0.286]","protein ubiquitination (GO:0016567) [0.929]","3"
"Pn10.1836",6600,"Isovaleryl-CoA dehydrogenase, mitochondrial [1.000]","isovaleryl-CoA-dehydrogenase","Acyl-CoA_dh_1 (PF00441) [1.000] | Acyl-CoA_dh_N (PF02771) [1.000] | Acyl-CoA_dh_M (PF02770) [0.964]","oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627) [1.000] | flavin adenine dinucleotide binding (GO:0050660) [1.000] | acyl-CoA dehydrogenase activity (GO:0003995) [0.964]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn10.1839",6721,"Vacuolar protein sorting-associated protein 52 A [0.963] | Vacuolar protein sorting-associated protein 52 B [0.037]","Vps52 / Sac2 family ","Vps52 (PF04129) [1.000] | UBN2_2 (PF14227) [0.037] | Methyltransf_11 (PF08241) [0.037]","methyltransferase activity (GO:0008168) [0.037]","metabolic process (GO:0008152) [0.037]","3"
"Pn10.1843",8141,"Tetraspanin family protein [0.480] | Tetraspanin-6 [0.440] | Tetraspanin-5 [0.080]","tetraspanin6 | tetraspanin5","Tetraspannin (PF00335) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.1914",3288,"threonine aldolase 1 [0.900] | threonine aldolase 2 [0.100]","threonine aldolase 2 | threonine aldolase 1","Beta_elim_lyase (PF01212) [1.000]","lyase activity (GO:0016829) [1.000]","cellular amino acid metabolic process (GO:0006520) [1.000]","2"
"Pn10.1918",3212,"actin depolymerizing factor 6 [1.000]","actin depolymerizing factor 6","Cofilin_ADF (PF00241) [1.000]","actin binding (GO:0003779) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn10.1954",3322,"Ankyrin repeat family protein [0.925] | ankyrin repeat family protein [0.050]","Ankyrin repeat family protein","Ank_2 (PF12796) [1.000] | PGG (PF13962) [0.925] | Ank (PF00023) [0.200] | Ank_4 (PF13637) [0.075] | Ank_5 (PF13857) [0.075] | Ank_3 (PF13606) [0.025]","protein binding (GO:0005515) [0.225]","NULL / Representative annotation below 0.1%","1"
"Pn10.1989",1055,"Acyl-[acyl-carrier-protein] desaturase, chloroplastic [0.500] | Acyl-[acyl-carrier-protein] desaturase 5, chloroplastic [0.167] | Acyl-[acyl-carrier-protein] desaturase 6, chloroplastic [0.167] | Acyl-[acyl-carrier-protein] desaturase 1, chloroplastic [0.069] | Acyl-[acyl-carrier-protein] desaturase 2, chloroplastic [0.069] | Acyl-[acyl-carrier-protein] desaturase 7, chloroplastic [0.028]","Plant stearoyl-acyl-carrier-protein desaturase family protein","FA_desaturase_2 (PF03405) [1.000]","acyl-[acyl-carrier-protein] desaturase activity (GO:0045300) [1.000]","fatty acid metabolic process (GO:0006631) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn10.2018",552,"Transmembrane emp24 domain-containing protein 10 [0.980] | Transmembrane emp24 domain-containing protein 9 [0.010] | Transmembrane emp24 domain-containing protein p24delta10 [0.010]","emp24/gp25L/p24 family/GOLD family protein","EMP24_GP25L (PF01105) [1.000]","NULL / Representative annotation below 0.1%","transport (GO:0006810) [1.000]","2"
"Pn10.2052",1977,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF581)","DUF581 (PF04570) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn10.2054",2243,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF247 (PF03140) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn10.2063",7472,"Polymerase/histidinol phosphatase-like [0.538] | DNA polymerase III PolC-type [0.231] | Error-prone DNA polymerase [0.192] | Protein TrpH [0.038]","Polymerase/histidinol phosphatase-like","PHP (PF02811) [0.923]","catalytic activity (GO:0003824) [0.923]","NULL / Representative annotation below 0.1%","6"
"Pn10.2066",214,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [1.000]","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","Trehalose_PPase (PF02358) [1.000]","catalytic activity (GO:0003824) [1.000]","trehalose biosynthetic process (GO:0005992) [1.000]","2"
"Pn10.2078",1389,"Cysteine/Histidine-rich C1 domain family protein [1.000]","Cysteine/Histidine-rich C1 domain family protein","C1_3 (PF07649) [0.635] | C1_2 (PF03107) [0.635] | ZZ (PF00569) [0.016]","protein-disulfide reductase activity (GO:0047134) [0.635] | zinc ion binding (GO:0008270) [0.016]","oxidation-reduction process (GO:0055114) [0.635]","5"
"Pn10.2086",7710,"Tetratricopeptide repeat (TPR)-like superfamily protein [0.962] | 30S ribosomal protein S9 [0.038]","Tetratricopeptide repeat (TPR)-like superfamily protein","TPR_11 (PF13414) [0.731] | TPR_2 (PF07719) [0.462] | TPR_1 (PF00515) [0.423] | Ribosomal_S9 (PF00380) [0.038] | TPR_8 (PF13181) [0.038] | Sel1 (PF08238) [0.038]","protein binding (GO:0005515) [0.423] | structural constituent of ribosome (GO:0003735) [0.038]","translation (GO:0006412) [0.038]","3"
"Pn10.2207",7744,"Mannan endo-1,4-beta-mannosidase 2 [0.760] | Mannan endo-1,4-beta-mannosidase 1 [0.160] | Mannan endo-1,4-beta-mannosidase 6 [0.040] | Mannan endo-1,4-beta-mannosidase 7 [0.040]","Unkown protein(s) / No TAIR description(s)","Cellulase (PF00150) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","1"
"Pn10.251",397,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase (PF00069) [0.982] | LRR_1 (PF00560) [0.009]","ATP binding (GO:0005524) [0.982] | protein kinase activity (GO:0004672) [0.982] | protein binding (GO:0005515) [0.009]","protein phosphorylation (GO:0006468) [0.982]","1"
"Pn10.261",6991,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1666)","DUF1666 (PF07891) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn10.265",3954,"basic leucine zipper 9 [0.944] | bZIP transcription factor family protein [0.028] | Basic-leucine zipper (bZIP) transcription factor family protein [0.028]","basic leucine zipper 9","bZIP_1 (PF00170) [0.972] | bZIP_C (PF12498) [0.667]","sequence-specific DNA binding (GO:0043565) [0.972] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.972]","regulation of transcription, DNA-templated (GO:0006355) [0.972]","5"
"Pn10.270",6534,"Glycogen debranching enzyme [1.000]","isoamylase 1","CBM_48 (PF02922) [0.857] | Alpha-amylase (PF00128) [0.857]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.857] | cation binding (GO:0043169) [0.857] | catalytic activity (GO:0003824) [0.857]","carbohydrate metabolic process (GO:0005975) [0.929]","1"
"Pn10.323",9029,"Metallo-hydrolase/oxidoreductase superfamily protein [1.000]","Metallo-hydrolase/oxidoreductase superfamily protein","Lactamase_B_3 (PF13483) [0.957]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.332",9884,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.343",9371,"Glycogen debranching enzyme [0.783] | Pullulanase [0.217]","limit dextrinase","DUF3372 (PF11852) [0.783] | CBM_48 (PF02922) [0.783] | Alpha-amylase (PF00128) [0.348] | PUD (PF03714) [0.043]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.783] | cation binding (GO:0043169) [0.348] | catalytic activity (GO:0003824) [0.348] | carbohydrate binding (GO:0030246) [0.043]","carbohydrate metabolic process (GO:0005975) [0.870]","3"
"Pn10.360",1385,"nodulin MtN21 /EamA-like transporter family protein [1.000]","Walls Are Thin 1 | nodulin MtN21 /EamA-like transporter family protein","EamA (PF00892) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn10.37",4254,"Sterile alpha motif (SAM) domain-containing protein [1.000]","Sterile alpha motif (SAM) domain-containing protein","SAM_2 (PF07647) [0.486]","protein binding (GO:0005515) [0.486]","NULL / Representative annotation below 0.1%","2"
"Pn10.393",1575,"Predicted AT-hook DNA-binding family protein [1.000]","AT-hook motif nuclear-localized protein 20 | AT-hook motif nuclear-localized protein 19 | AT-hook protein of GA feedback 2","DUF296 (PF03479) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn10.484",1704,"LORELEI-LIKE-GPI-ANCHORED PROTEIN 1 [0.707] | LORELEI-LIKE-GPI ANCHORED PROTEIN 3 [0.155] | LORELEI-LIKE-GPI ANCHORED PROTEIN 2 [0.086]","LORELEI-LIKE-GPI ANCHORED PROTEIN 3 | lorelei | LORELEI-LIKE-GPI-ANCHORED PROTEIN 1 | LORELEI-LIKE-GPI ANCHORED PROTEIN 2","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn10.504",717,"Protein phosphatase 2C family protein [1.000]","Protein phosphatase 2C family protein","PP2C (PF00481) [1.000]","catalytic activity (GO:0003824) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn10.519",321,"Homeodomain-like superfamily protein [1.000]","Homeodomain-like superfamily protein | myb-related protein 1","Myb_CC_LHEQLE (PF14379) [1.000] | Myb_DNA-binding (PF00249) [0.968]","chromatin binding (GO:0003682) [0.968]","NULL / Representative annotation below 0.1%","4"
"Pn10.520",3743,"Charged multivesicular body protein 1 [0.947] | Charged multivesicular body protein 1b [0.026] | Charged multivesicular body protein 1a [0.026]","vacuolar protein sorting 46.1 | SNF7 family protein","Snf7 (PF03357) [1.000]","NULL / Representative annotation below 0.1%","protein transport (GO:0015031) [1.000]","5"
"Pn10.528",6938,"Chlorophyll a-b binding protein 4, chloroplastic [0.741] | Chlorophyll a-b binding protein P4, chloroplastic [0.222] | photosystem I light harvesting complex gene 2 [0.037]","light-harvesting chlorophyll-protein complex I subunit A4","Chloroa_b-bind (PF00504) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn10.529",7353,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn10.552",296,"Ent-copalyl diphosphate synthase, chloroplastic [0.388] | terpene synthase 04 [0.186] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.178] | Levopimaradiene synthase, chloroplastic [0.078] | Ent-copalyl diphosphate synthase 1, chloroplastic [0.062] | Ent-kaurene synthase-like 3 [0.031] | Ent-kaurene synthase-like 2 [0.023] | Copalyl diphosphate synthase 1 [0.016] | Copalyl diphosphate synthase 2 [0.016] | Ent-kaur-16-ene synthase, chloroplastic [0.016] | terpene synthase 02 [0.008]","Terpenoid cyclases/Protein prenyltransferases superfamily protein","Terpene_synth (PF01397) [0.961] | Terpene_synth_C (PF03936) [0.907] | Prenyltrans_1 (PF13243) [0.132] | RF-1 (PF00472) [0.016]","lyase activity (GO:0016829) [0.992] | terpene synthase activity (GO:0010333) [0.992] | magnesium ion binding (GO:0000287) [0.907] | translation release factor activity (GO:0003747) [0.016]","metabolic process (GO:0008152) [0.961] | translational termination (GO:0006415) [0.016]","1"
"Pn10.562",5000,"ATP synthase delta-subunit gene [0.969] | ATP synthase delta chain, chloroplastic [0.031]","ATP synthase delta-subunit gene","OSCP (PF00213) [1.000]","proton-transporting ATP synthase activity, rotational mechanism (GO:0046933) [1.000]","ATP synthesis coupled proton transport (GO:0015986) [1.000]","4"
"Pn10.71",451,"proline-rich extensin-like receptor kinase 10 [0.575] | Protein kinase superfamily protein [0.425]","Protein kinase superfamily protein | root hair specific 10 | proline-rich extensin-like receptor kinase 10 | proline extensin-like receptor kinase 1","Pkinase_Tyr (PF07714) [0.745] | Pkinase (PF00069) [0.255] | Brix (PF04427) [0.009]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.255]","protein phosphorylation (GO:0006468) [1.000]","3"
"Pn10.748",3193,"MADS-box transcription factor 47 [0.561] | MADS-box transcription factor 22 [0.415] | MADS-box transcription factor 55 [0.024]","K-box region and MADS-box transcription factor family protein ","K-box (PF01486) [0.976] | SRF-TF (PF00319) [0.927]","sequence-specific DNA binding transcription factor activity (GO:0003700) [0.976] | DNA binding (GO:0003677) [0.927] | protein dimerization activity (GO:0046983) [0.927]","regulation of transcription, DNA-templated (GO:0006355) [0.976]","4"
"Pn10.76",811,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase_Tyr (PF07714) [1.000] | RVT_3 (PF13456) [0.012] | Pkinase (PF00069) [0.012]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.012]","protein phosphorylation (GO:0006468) [1.000]","1"
"Pn10.795",3952,"Tetratricopeptide repeat (TPR)-like superfamily protein [0.417] | Kinesin light chain 3 [0.361] | Kinesin light chain [0.111] | Kinesin light chain 4 [0.083] | Kinesin light chain 1 [0.028]","Tetratricopeptide repeat (TPR)-like superfamily protein","TPR_12 (PF13424) [0.667] | TPR_10 (PF13374) [0.528] | TPR_8 (PF13181) [0.028] | TPR_2 (PF07719) [0.028] | SLT (PF01464) [0.028]","protein binding (GO:0005515) [0.028]","NULL / Representative annotation below 0.1%","3"
"Pn10.798",1108,"nudix hydrolase homolog 17 [0.451] | nudix hydrolase homolog 18 [0.225] | nudix hydrolase homolog 4 [0.183] | nudix hydrolase homolog 21 [0.141]","nudix hydrolase homolog 17 | nudix hydrolase homolog 4 | nudix hydrolase homolog 21 | nudix hydrolase homolog 18","NUDIX (PF00293) [1.000]","hydrolase activity (GO:0016787) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn10.810",4891,"DNA polymerase III subunit gamma/tau [0.906] | AAA-type ATPase family protein [0.094]","AAA-type ATPase family protein","DNA_pol3_delta2 (PF13177) [1.000] | DNA_pol3_gamma3 (PF12169) [0.906]","DNA-directed DNA polymerase activity (GO:0003887) [0.906]","NULL / Representative annotation below 0.1%","3"
"Pn10.814",8713,"Heavy metal transport/detoxification superfamily protein [0.958]","Heavy metal transport/detoxification superfamily protein ","HMA (PF00403) [0.042]","metal ion binding (GO:0046872) [0.042]","metal ion transport (GO:0030001) [0.042]","4"
