"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pn10.1702",8,"G-type lectin S-receptor-like serine/threonine-protein kinase [0.815] | S-locus lectin protein kinase family protein [0.090] | receptor kinase 3 [0.033] | receptor kinase 2 [0.026] | receptor-like protein kinase 4 [0.013] | receptor kinase 1 [0.010] | cysteine-rich RLK (RECEPTOR-like protein kinase) 10 [0.003] | Protein kinase superfamily protein [0.003] | Cysteine-rich receptor-like protein kinase 10 [0.002] | lectin protein kinase family protein [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [0.001]","S-locus lectin protein kinase family protein | receptor kinase 1 | receptor kinase 3 | S-domain-1 13 | S-locus protein kinase, putative | protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding | receptor kinase 2 | S-domain-1 29","S_locus_glycop (PF00954) [0.952] | PAN_2 (PF08276) [0.924] | B_lectin (PF01453) [0.909] | Pkinase_Tyr (PF07714) [0.650] | Pkinase (PF00069) [0.296] | DUF3403 (PF11883) [0.283] | DUF3660 (PF12398) [0.024] | GUB_WAK_bind (PF13947) [0.002] | RVT_2 (PF07727) [0.002] | FAD_binding_4 (PF01565) [0.001] | MatE (PF01554) [0.001] | zf-CCHC (PF00098) [0.001] | PPR_2 (PF13041) [0.001] | Retrotrans_gag (PF03732) [0.001] | Lectin_legB (PF00139) [0.001] | PPR (PF01535) [0.001] | PAN_1 (PF00024) [0.001] | Stress-antifung (PF01657) [0.001] | RVP_2 (PF08284) [0.001]","protein kinase activity (GO:0004672) [0.922] | ATP binding (GO:0005524) [0.296] | protein serine/threonine kinase activity (GO:0004674) [0.286] | polysaccharide binding (GO:0030247) [0.002] | nucleic acid binding (GO:0003676) [0.001] | flavin adenine dinucleotide binding (GO:0050660) [0.001] | drug transmembrane transporter activity (GO:0015238) [0.001] | UDP-N-acetylmuramate dehydrogenase activity (GO:0008762) [0.001] | antiporter activity (GO:0015297) [0.001] | carbohydrate binding (GO:0030246) [0.001] | oxidoreductase activity (GO:0016491) [0.001] | zinc ion binding (GO:0008270) [0.001]","recognition of pollen (GO:0048544) [0.952] | protein phosphorylation (GO:0006468) [0.922] | drug transmembrane transport (GO:0006855) [0.001] | oxidation-reduction process (GO:0055114) [0.001] | transmembrane transport (GO:0055085) [0.001]",43.2017175086614,-3.57558293543649,0.461974760418259,98.2168191837864,3.7573171540443e-21,2.90799412971706e-20
"Pn10.1728",448,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]",163.652117359343,-3.41035365079138,0.663286435788345,103.337528626079,2.97682413864095e-22,2.48704397395462e-21
"Pn10.1746",3140,"Predicted eukaryotic LigT [0.659] | Transducin/WD40 repeat-like superfamily protein [0.293] | glyoxal oxidase-related protein [0.024]","Predicted eukaryotic LigT","AKAP7_NLS (PF10469) [0.756] | KH_1 (PF00013) [0.488] | WD40 (PF00400) [0.293] | Glyoxal_oxid_N (PF07250) [0.024] | PH_2 (PF08458) [0.024] | Auxin_canalis (PF05703) [0.024]","RNA binding (GO:0003723) [0.488] | protein binding (GO:0005515) [0.293]","NULL / Representative annotation below 0.1%",267.530076892185,-4.15717086346965,0.395173550180623,112.792866074298,2.74929687721589e-24,2.63284092179529e-23
"Pn10.1771",448,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]",500.277266353733,-4.64540519801996,1.5691025889193,19.1029893434439,0.000260315199106611,0.000489839843063551
"Pn10.1831",2905,"Symplekin [0.674] | HEAT repeat-containing protein [0.279] | RNA-directed DNA polymerase (reverse transcriptase)-related family protein [0.023] | phosphatidylinositol 3- and 4-kinase family protein [0.023]","HEAT repeat-containing protein","Symplekin_C (PF12295) [0.884] | DUF3453 (PF11935) [0.791] | RVT_3 (PF13456) [0.023] | HEAT_2 (PF13646) [0.023]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",18.7476718002821,-3.38673211815664,0.677856717960372,44.8898285595079,9.7652184011712e-10,3.18591135510292e-09
"Pn10.1838",6721,"Vacuolar protein sorting-associated protein 52 A [0.963] | Vacuolar protein sorting-associated protein 52 B [0.037]","Vps52 / Sac2 family ","Vps52 (PF04129) [1.000] | UBN2_2 (PF14227) [0.037] | Methyltransf_11 (PF08241) [0.037]","methyltransferase activity (GO:0008168) [0.037]","metabolic process (GO:0008152) [0.037]",142.82471550821,-3.66179603452148,0.50327032424665,70.3716470881304,3.55365192365024e-15,1.78237235278734e-14
"Pn10.1839",6721,"Vacuolar protein sorting-associated protein 52 A [0.963] | Vacuolar protein sorting-associated protein 52 B [0.037]","Vps52 / Sac2 family ","Vps52 (PF04129) [1.000] | UBN2_2 (PF14227) [0.037] | Methyltransf_11 (PF08241) [0.037]","methyltransferase activity (GO:0008168) [0.037]","metabolic process (GO:0008152) [0.037]",163.579618521193,-4.1959683436402,0.400697350753921,146.369305643886,1.59923202027967e-31,2.3597720102454e-30
"Pn10.1875",2103,"Unkown protein / Representative AHRD below 0.1%","Protein of Unknown Function (DUF239)","DUF239 (PF03080) [1.000] | DUF4409 (PF14365) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",19.7425677865236,-2.71110297489749,0.583118681775241,32.0969648857317,4.99290358156235e-07,1.26189951201893e-06
"Pn10.1877",8441,"WRKY DNA-binding protein 3 [0.417] | WRKY DNA-binding protein 4 [0.333] | WRKY DNA-binding protein 34 [0.083] | WRKY DNA-binding protein 2 [0.083] | WRKY family transcription factor family protein [0.083]","WRKY family transcription factor family protein","WRKY (PF03106) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]",146.262911006953,-4.24956664379687,0.575251828129205,72.9863884875558,9.7858990784014e-16,5.13192213005337e-15
"Pn10.1913",408,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF640)","DUF640 (PF04852) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",5.38587314049734,-5.57014142319281,1.42436511750518,24.8612234706897,1.65072393086647e-05,3.55953171250396e-05
"Pn10.1921",39180,"Malate dehydrogenase, cytoplasmic [1.000]","Unkown protein(s) / No TAIR description(s)","Ldh_1_N (PF00056) [1.000] | Ldh_1_C (PF02866) [1.000]","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]",52.4621375255336,-3.65196929167776,0.501965368758431,78.654192217278,5.96595670453244e-17,3.43233238026745e-16
"Pn10.1954",3322,"Ankyrin repeat family protein [0.925] | ankyrin repeat family protein [0.050]","Ankyrin repeat family protein","Ank_2 (PF12796) [1.000] | PGG (PF13962) [0.925] | Ank (PF00023) [0.200] | Ank_4 (PF13637) [0.075] | Ank_5 (PF13857) [0.075] | Ank_3 (PF13606) [0.025]","protein binding (GO:0005515) [0.225]","NULL / Representative annotation below 0.1%",408.061112611425,-2.13315908225371,0.227068984980641,132.795503294886,1.35079309412908e-28,1.68064660688239e-27
"Pn10.20",25,"ABC transporter family protein [0.791] | ABC transporter B family member 20 [0.051] | ABC transporter B family member 1 [0.043] | ABC transporter B family member 19 [0.037] | ABC transporter B family member 2 [0.018] | ABC transporter B family member 6 [0.012] | ABC transporter B family member 21 [0.008] | ABC transporter B family member 10 [0.006] | ABC transporter B family member 4 [0.006] | ABC transporter B family member 13 [0.006] | ABC transporter B family member 9 [0.004] | ABC transporter B family member 3 [0.004] | ABC transporter B family member 11 [0.004] | ABC transporter B family member 14 [0.004] | ABC transporter B family member 12 [0.002] | ABC transporter B family member 5 [0.002] | ABC transporter B family member 7 [0.002]","ABC transporter family protein | P-glycoprotein 21 | P-glycoprotein 11 | P-glycoprotein 5 | P-glycoprotein  20 | P-glycoprotein 13 | P-glycoprotein 12 | P-glycoprotein 6 | P-glycoprotein 17 | P-glycoprotein  9 | P-glycoprotein 14 | P-glycoprotein 2 | P-glycoprotein  7 | ATP binding cassette subfamily B19 | P-glycoprotein 10 | ATP binding cassette subfamily B4 | P-glycoprotein 3 | P-glycoprotein 16 | ATP binding cassette subfamily B1 | P-glycoprotein 18","ABC_membrane (PF00664) [0.998] | ABC_tran (PF00005) [0.998] | DUF936 (PF06075) [0.002] | PAH (PF02671) [0.002]","ATP binding (GO:0005524) [1.000] | ATPase activity, coupled to transmembrane movement of substances (GO:0042626) [0.998] | ATPase activity (GO:0016887) [0.998]","transport (GO:0006810) [0.998] | transmembrane transport (GO:0055085) [0.998] | regulation of transcription, DNA-templated (GO:0006355) [0.002]",4.00825516371917,-5.57611450564843,1.4354342649575,29.6278416598511,1.65259084329919e-06,3.96575965649833e-06
"Pn10.2011",312,"MATE efflux family protein [0.992] | Pentatricopeptide repeat-containing protein [0.008]","MATE efflux family protein","MatE (PF01554) [0.992] | Polysacc_synt_C (PF14667) [0.157] | PPR (PF01535) [0.008] | LysM (PF01476) [0.008]","drug transmembrane transporter activity (GO:0015238) [0.992] | antiporter activity (GO:0015297) [0.992]","drug transmembrane transport (GO:0006855) [0.992] | transmembrane transport (GO:0055085) [0.992] | cell wall macromolecule catabolic process (GO:0016998) [0.008]",170.100037904282,-4.9593553599322,0.784472234650879,41.0194595701065,6.47735281024439e-09,1.96002221504503e-08
"Pn10.2015",4901,"DNA repair and recombination protein RAD54-like [0.688] | chromatin remodeling 38 [0.062] | chromatin remodeling 42 [0.062] | DNA repair and recombination protein RAD54 [0.062] | SNF2 domain-containing protein CLASSY 1 [0.062] | Chromodomain-helicase-DNA-binding protein 3 [0.031] | Dehydration-responsive element-binding protein 2C [0.031]","chromatin remodeling 38 | chromatin remodeling 42","SNF2_N (PF00176) [0.969] | Helicase_C (PF00271) [0.938] | Methyltransf_11 (PF08241) [0.031] | Methyltransf_21 (PF05050) [0.031] | AP2 (PF00847) [0.031]","ATP binding (GO:0005524) [0.969] | DNA binding (GO:0003677) [0.969] | nucleic acid binding (GO:0003676) [0.938] | helicase activity (GO:0004386) [0.938] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.031] | methyltransferase activity (GO:0008168) [0.031]","metabolic process (GO:0008152) [0.031] | regulation of transcription, DNA-templated (GO:0006355) [0.031]",43.1571116080935,-1.59616776025569,0.368717385669727,59.1625380768781,8.87451421712648e-13,3.73983134721357e-12
"Pn10.2052",1977,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF581)","DUF581 (PF04570) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",841.969216267622,-2.20971453323414,0.297837854203707,205.231096738075,3.12461203437867e-44,8.88037242114317e-43
"Pn10.2061",1608,"Major facilitator superfamily protein [0.712] | Quinolone resistance protein NorA [0.288]","Major facilitator superfamily protein","MFS_1 (PF07690) [1.000]","NULL / Representative annotation below 0.1%","transmembrane transport (GO:0055085) [1.000]",17.6717309851536,-3.30506796775759,0.679202761604857,36.9486297399349,4.71798357921203e-08,1.31839802005434e-07
"Pn10.2207",7744,"Mannan endo-1,4-beta-mannosidase 2 [0.760] | Mannan endo-1,4-beta-mannosidase 1 [0.160] | Mannan endo-1,4-beta-mannosidase 6 [0.040] | Mannan endo-1,4-beta-mannosidase 7 [0.040]","Unkown protein(s) / No TAIR description(s)","Cellulase (PF00150) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]",66.998727049685,-9.02008442908822,1.21482535848893,322.889488657932,1.10469974215361e-69,8.25588727566292e-68
"Pn10.251",397,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase (PF00069) [0.982] | LRR_1 (PF00560) [0.009]","ATP binding (GO:0005524) [0.982] | protein kinase activity (GO:0004672) [0.982] | protein binding (GO:0005515) [0.009]","protein phosphorylation (GO:0006468) [0.982]",83.0049618653612,-3.09011205735933,0.360135342901303,189.625092126494,7.35520574644103e-41,1.80628114919422e-39
"Pn10.261",6991,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1666)","DUF1666 (PF07891) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",535.829562381969,-1.28312258385629,0.308002952797756,165.188710718569,1.39079489608561e-35,2.60065928407696e-34
"Pn10.267",3387,"SAUR-like auxin-responsive protein family [1.000]","SAUR-like auxin-responsive protein family ","Auxin_inducible (PF02519) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",15.1050043260269,-2.15445769958463,0.558162936921383,72.9417680352494,1.00036996723394e-15,5.24125361894199e-15
"Pn10.27",3101,"EKC/KEOPS complex subunit bud32 [0.690] | Pentatricopeptide repeat (PPR) superfamily protein [0.310]","Pentatricopeptide repeat (PPR) superfamily protein | Protein kinase superfamily protein","Pkinase (PF00069) [0.667] | PPR (PF01535) [0.357] | PPR_2 (PF13041) [0.262] | PPR_3 (PF13812) [0.095] | RIO1 (PF01163) [0.024]","ATP binding (GO:0005524) [0.690] | protein kinase activity (GO:0004672) [0.667] | catalytic activity (GO:0003824) [0.024]","protein phosphorylation (GO:0006468) [0.667]",63.8384905501682,-3.04200918173699,0.470641141022474,62.0117754108996,2.18440210745252e-13,9.63209358171996e-13
"Pn10.270",6534,"Glycogen debranching enzyme [1.000]","isoamylase 1","CBM_48 (PF02922) [0.857] | Alpha-amylase (PF00128) [0.857]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.857] | cation binding (GO:0043169) [0.857] | catalytic activity (GO:0003824) [0.857]","carbohydrate metabolic process (GO:0005975) [0.929]",31.7446172704448,-5.92959689297091,0.890893756549988,178.281235140181,2.07314839796932e-38,4.56539140600293e-37
"Pn10.271",6534,"Glycogen debranching enzyme [1.000]","isoamylase 1","CBM_48 (PF02922) [0.857] | Alpha-amylase (PF00128) [0.857]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.857] | cation binding (GO:0043169) [0.857] | catalytic activity (GO:0003824) [0.857]","carbohydrate metabolic process (GO:0005975) [0.929]",56.9975805802295,-5.02678268519529,0.579249075051376,124.307124081236,9.11363339977802e-27,1.01566105190987e-25
"Pn10.342",1165,"C2H2-type zinc finger family protein [0.594] | zinc-finger protein 2 [0.217] | zinc-finger protein 1 [0.116] | zinc-finger protein 3 [0.043] | C2H2-like zinc finger protein [0.029]","C2H2-type zinc finger family protein","zf-C2H2_6 (PF13912) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",6.93813801387353,-4.89026549181512,1.30118682871897,61.3719050646991,2.99292670828092e-13,1.30615746052535e-12
"Pn10.363",2837,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function DUF2359, transmembrane","DUF2359 (PF10151) [0.955]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",76.802451329049,-5.13546362372999,0.602347719497278,122.169549402098,2.63119579258578e-26,2.84629715576904e-25
"Pn10.393",1575,"Predicted AT-hook DNA-binding family protein [1.000]","AT-hook motif nuclear-localized protein 20 | AT-hook motif nuclear-localized protein 19 | AT-hook protein of GA feedback 2","DUF296 (PF03479) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",46.081376586129,-1.13563423054544,0.292338121734975,139.261901319334,5.45260716836774e-30,7.38671473968276e-29
"Pn10.469",210,"Raffinose synthase family protein [0.792] | Leucine-rich repeat receptor-like protein kinase family protein [0.047] | Leucine-rich receptor-like protein kinase family protein [0.027] | receptor like protein 52 [0.027] | receptor like protein 27 [0.027] | receptor like protein 12 [0.020] | receptor like protein 54 [0.013] | Leucine-rich repeat protein kinase family protein [0.013] | receptor like protein 43 [0.013] | receptor like protein 33 [0.013] | receptor like protein 6 [0.007]","Raffinose synthase family protein | seed imbibition 1 | seed imbibition 2","Raffinose_syn (PF05691) [0.805] | LRR_1 (PF00560) [0.174] | LRR_8 (PF13855) [0.174] | LRRNT_2 (PF08263) [0.141] | LRR_6 (PF13516) [0.047] | LRR_4 (PF12799) [0.034] | LRR_7 (PF13504) [0.013]","protein binding (GO:0005515) [0.174]","NULL / Representative annotation below 0.1%",22.6266202437518,-3.22034768622089,0.698490612641612,42.0738703357918,3.86988897524964e-09,1.19529249619993e-08
"Pn10.470",210,"Raffinose synthase family protein [0.792] | Leucine-rich repeat receptor-like protein kinase family protein [0.047] | Leucine-rich receptor-like protein kinase family protein [0.027] | receptor like protein 52 [0.027] | receptor like protein 27 [0.027] | receptor like protein 12 [0.020] | receptor like protein 54 [0.013] | Leucine-rich repeat protein kinase family protein [0.013] | receptor like protein 43 [0.013] | receptor like protein 33 [0.013] | receptor like protein 6 [0.007]","Raffinose synthase family protein | seed imbibition 1 | seed imbibition 2","Raffinose_syn (PF05691) [0.805] | LRR_1 (PF00560) [0.174] | LRR_8 (PF13855) [0.174] | LRRNT_2 (PF08263) [0.141] | LRR_6 (PF13516) [0.047] | LRR_4 (PF12799) [0.034] | LRR_7 (PF13504) [0.013]","protein binding (GO:0005515) [0.174]","NULL / Representative annotation below 0.1%",19.6553159730611,-5.93641046842218,1.2608738412372,63.0501275245247,1.31024659127886e-13,5.86897592011509e-13
"Pn10.513",895,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 [0.551] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase 3 [0.244] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 [0.141] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase [0.064]","3-hydroxy-3-methylglutaryl-CoA reductase 2 | hydroxy methylglutaryl CoA reductase 1","HMG-CoA_red (PF00368) [1.000]","hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420) [1.000] | coenzyme binding (GO:0050662) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | coenzyme A metabolic process (GO:0015936) [1.000]",28.4393246039809,-1.97466239505201,0.471083159656452,50.5249897163879,6.17568207117406e-11,2.2327542300074e-10
"Pn10.521",3992,"Starch synthase 2, chloroplastic/amyloplastic [1.000]","starch synthase 2","Glyco_transf_5 (PF08323) [1.000] | Glycos_transf_1 (PF00534) [0.972] | Self-incomp_S1 (PF05938) [0.028] | OPT (PF03169) [0.028]","NULL / Representative annotation below 0.1%","biosynthetic process (GO:0009058) [0.972] | transmembrane transport (GO:0055085) [0.028]",92.761772530491,-4.15625333239015,0.471427742014625,122.312420340787,2.45120072279841e-26,2.66054331770085e-25
"Pn10.544",5865,"Origin recognition complex subunit 6 [1.000]","origin recognition complex protein 6","ORC6 (PF05460) [0.931]","DNA binding (GO:0003677) [0.931]","DNA replication (GO:0006260) [0.931]",36.8683490932124,-3.53060156595639,0.491825883527157,107.406272368891,3.96704968817823e-23,3.52235179536489e-22
"Pn10.552",296,"Ent-copalyl diphosphate synthase, chloroplastic [0.388] | terpene synthase 04 [0.186] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.178] | Levopimaradiene synthase, chloroplastic [0.078] | Ent-copalyl diphosphate synthase 1, chloroplastic [0.062] | Ent-kaurene synthase-like 3 [0.031] | Ent-kaurene synthase-like 2 [0.023] | Copalyl diphosphate synthase 1 [0.016] | Copalyl diphosphate synthase 2 [0.016] | Ent-kaur-16-ene synthase, chloroplastic [0.016] | terpene synthase 02 [0.008]","Terpenoid cyclases/Protein prenyltransferases superfamily protein","Terpene_synth (PF01397) [0.961] | Terpene_synth_C (PF03936) [0.907] | Prenyltrans_1 (PF13243) [0.132] | RF-1 (PF00472) [0.016]","lyase activity (GO:0016829) [0.992] | terpene synthase activity (GO:0010333) [0.992] | magnesium ion binding (GO:0000287) [0.907] | translation release factor activity (GO:0003747) [0.016]","metabolic process (GO:0008152) [0.961] | translational termination (GO:0006415) [0.016]",661.638577055835,-3.53548592755525,0.16125583412335,1019.69661703013,9.60049964192178e-221,1.30886811784867e-217
"Pn10.559",2930,"TCP family transcription factor [0.977]","TCP family transcription factor  | TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14","TCP (PF03634) [0.953]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",21.7127276716554,-3.16964983610265,0.620958067292597,103.367072748761,2.9335848868951e-22,2.45319672976599e-21
"Pn10.578",5170,"histone deacetylase 15 [1.000]","histone deacetylase 15","Hist_deacetyl (PF00850) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",5.19704113087438,-3.88609599124227,1.34345575533007,29.5603257348274,1.70750247107566e-06,4.09185768476052e-06
"Pn10.609",24,"Retrovirus-related Pol polyprotein from transposon TNT 1-94 [0.160] | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [0.124] | Transposon Ty2-B Gag-Pol polyprotein [0.053] | Phosphoacetylglucosamine mutase [0.048] | Transposon Ty1-OL Gag-Pol polyprotein [0.036] | DNA/RNA polymerases superfamily protein chrM:227709-228431 REVERSE [0.034] | Transposon Ty4-J Gag-Pol polyprotein [0.030] | Transposon Ty2-F Gag-Pol polyprotein [0.029] | Reverse transcriptase (RNA-dependent DNA polymerase) chrM:228573-229085 REVERSE [0.027] | Transposon Ty4-H Gag-Pol polyprotein [0.025] | Transposon Ty2-C Gag-Pol polyprotein [0.025] | Transposon Ty1-H Gag-Pol polyprotein [0.019] | phosphoglucosamine mutase-related [0.010] | Transposon Ty1-PL Gag-Pol polyprotein [0.010] | Transposon Ty1-BL Gag-Pol polyprotein [0.006] | Copia protein [0.004] | Transposon Ty1-BR Gag-Pol polyprotein [0.004] | Bifunctional polynucleotide phosphatase/kinase [0.002] | Truncated transposon Ty1-A Gag-Pol polyprotein [0.002] | F-box and associated interaction domains-containing protein [0.002] | Polynucleotidyl transferase, ribonuclease H-like superfamily protein chrM:207553-207915 REVERSE [0.002] | Galactose oxidase/kelch repeat superfamily protein [0.002] | Gag-Pol-related retrotransposon family protein chrM:68918-69253 REVERSE [0.002] | serine carboxypeptidase-like 44 [0.002] | Eukaryotic aspartyl protease family protein [0.002] | Transposon Tf2-1 polyprotein [0.002] | Cytosolic sulfotransferase 14 [0.002] | Ankyrin repeat family protein [0.002] | Transposon Ty1-OR Gag-Pol polyprotein [0.002] | Gag-Pol-related retrotransposon family protein chrM:89617-90054 REVERSE [0.002] | sulfate transporter 3;5 [0.002] | GDSL esterase/lipase [0.002] | Ethylene-responsive transcription factor 7 [0.002]","phosphoglucosamine mutase-related","RVT_2 (PF07727) [0.527] | UBN2_3 (PF14244) [0.449] | rve (PF00665) [0.260] | gag_pre-integrs (PF13976) [0.169] | PGM_PMM_IV (PF00408) [0.053] | PGM_PMM_III (PF02880) [0.053] | PGM_PMM_I (PF02878) [0.051] | PGM_PMM_II (PF02879) [0.049] | Retrotrans_gag (PF03732) [0.013] | zf-CCHC (PF00098) [0.004] | UBN2_2 (PF14227) [0.004] | Sulfotransfer_1 (PF00685) [0.002] | F-box (PF00646) [0.002] | Dimer_Tnp_hAT (PF05699) [0.002] | Sulfate_transp (PF00916) [0.002] | DUF4219 (PF13961) [0.002] | Lipase_GDSL (PF00657) [0.002] | zf-PARP (PF00645) [0.002] | UBN2 (PF14223) [0.002] | PNK3P (PF08645) [0.002] | Ank (PF00023) [0.002] | AP2 (PF00847) [0.002] | RVP_2 (PF08284) [0.002] | Peptidase_S10 (PF00450) [0.002]","intramolecular transferase activity, phosphotransferases (GO:0016868) [0.057] | zinc ion binding (GO:0008270) [0.006] | protein binding (GO:0005515) [0.004] | nucleic acid binding (GO:0003676) [0.004] | serine-type carboxypeptidase activity (GO:0004185) [0.002] | sulfotransferase activity (GO:0008146) [0.002] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.002] | sulfate transmembrane transporter activity (GO:0015116) [0.002] | hydrolase activity, acting on ester bonds (GO:0016788) [0.002] | DNA binding (GO:0003677) [0.002] | protein dimerization activity (GO:0046983) [0.002]","DNA integration (GO:0015074) [0.260] | carbohydrate metabolic process (GO:0005975) [0.057] | regulation of transcription, DNA-templated (GO:0006355) [0.002] | lipid metabolic process (GO:0006629) [0.002] | proteolysis (GO:0006508) [0.002] | sulfate transport (GO:0008272) [0.002]",44.5191949021019,-2.78569050393861,0.443953087862608,62.9877088247316,1.35113433140663e-13,6.04610439327475e-13
"Pn10.68",88,"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein [1.000]","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein | aminophospholipid ATPase 3 | autoinhibited Ca2+/ATPase II | aminophospholipid ATPase 1","E1-E2_ATPase (PF00122) [0.906] | HAD (PF12710) [0.859] | Hydrolase_like2 (PF13246) [0.063] | Hydrolase (PF00702) [0.055] | LRR_1 (PF00560) [0.004] | SKIP_SNW (PF02731) [0.004]","metal ion binding (GO:0046872) [0.906] | nucleotide binding (GO:0000166) [0.906] | protein binding (GO:0005515) [0.004]","mRNA splicing, via spliceosome (GO:0000398) [0.004]",8.84620346560919,-4.50107969526088,1.16942116266164,35.50851195984,9.51223091704181e-08,2.58404084546476e-07
"Pn10.755",1916,"Pentatricopeptide repeat (PPR) superfamily protein [1.000]","Pentatricopeptide repeat (PPR) superfamily protein","PPR_2 (PF13041) [1.000] | PPR (PF01535) [0.944] | PPR_1 (PF12854) [0.870] | PPR_3 (PF13812) [0.074]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",256.02365692181,-2.64723410473389,0.358081293938949,60.9031098284402,3.76947247367969e-13,1.63254299760155e-12
"Pn10.76",811,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase_Tyr (PF07714) [1.000] | RVT_3 (PF13456) [0.012] | Pkinase (PF00069) [0.012]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.012]","protein phosphorylation (GO:0006468) [1.000]",810.905534294858,-1.37699411570801,0.139834311315241,227.412281776631,5.01527505939374e-49,1.76141471445843e-47
"Pn10.829",5530,"ABC transporter family protein [1.000]","general control non-repressible 5 | ABC transporter family protein","ABC_tran (PF00005) [1.000] | ABC_tran_2 (PF12848) [0.933]","ATP binding (GO:0005524) [1.000] | ATPase activity (GO:0016887) [1.000]","NULL / Representative annotation below 0.1%",10.3942876717897,-2.82334301062634,0.753070897823482,24.2091550739695,2.25901485878011e-05,4.79582288111161e-05
"Pn10.836",1268,"RNA-binding KH domain-containing protein [1.000]","RNA-binding KH domain-containing protein","KH_1 (PF00013) [1.000] | KH_3 (PF13014) [0.015]","RNA binding (GO:0003723) [1.000]","NULL / Representative annotation below 0.1%",10.3184780293611,-3.68138648543289,0.931915613404539,44.7058292097233,1.0685193623187e-09,3.46969946667039e-09
"Pn10.876",7744,"Mannan endo-1,4-beta-mannosidase 2 [0.760] | Mannan endo-1,4-beta-mannosidase 1 [0.160] | Mannan endo-1,4-beta-mannosidase 6 [0.040] | Mannan endo-1,4-beta-mannosidase 7 [0.040]","Unkown protein(s) / No TAIR description(s)","Cellulase (PF00150) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]",73.9255104546329,-6.66559339462996,0.877066182554808,331.529127172691,1.48891444654192e-71,1.18769966223264e-69
