"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn12.444",89,"UDP-Glycosyltransferase superfamily protein [0.996] | Disease resistance protein (TIR-NBS-LRR class) family [0.004]","UDP-glucosyl transferase 85A3 | UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 85A5 | UDP-glucosyl transferase 85A2 | UDP-glucosyl transferase 85A7 | UDP-glucosyl transferase 85A4","UDPGT (PF00201) [0.925] | PPR (PF01535) [0.008] | TIR (PF01582) [0.008]","transferase activity, transferring hexosyl groups (GO:0016758) [0.925] | protein binding (GO:0005515) [0.008]","metabolic process (GO:0008152) [0.925] | signal transduction (GO:0007165) [0.008]","3"
"Pn12.451",1579,"metacaspase 1 [0.833] | metacaspase 3 [0.133] | metacaspase 2 [0.033]","metacaspase 3 | metacaspase 1 | metacaspase 2","Peptidase_C14 (PF00656) [1.000] | zf-LSD1 (PF06943) [0.683]","cysteine-type endopeptidase activity (GO:0004197) [1.000]","proteolysis (GO:0006508) [1.000]","1"
"Pn12.524",6532,"Pollen Ole e 1 allergen and extensin family protein [0.964]","Pollen Ole e 1 allergen and extensin family protein","Pollen_Ole_e_I (PF01190) [0.964]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn12.557",1579,"metacaspase 1 [0.833] | metacaspase 3 [0.133] | metacaspase 2 [0.033]","metacaspase 3 | metacaspase 1 | metacaspase 2","Peptidase_C14 (PF00656) [1.000] | zf-LSD1 (PF06943) [0.683]","cysteine-type endopeptidase activity (GO:0004197) [1.000]","proteolysis (GO:0006508) [1.000]","1"
"Pn12.683",448,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]","5"
"Pn12.836",1391,"exocyst subunit exo70 family protein H7 [0.286] | exocyst subunit exo70 family protein H4 [0.270] | exocyst subunit exo70 family protein H2 [0.254] | exocyst subunit exo70 family protein H1 [0.143] | exocyst subunit exo70 family protein H6 [0.048]","exocyst subunit exo70 family protein H7 | exocyst subunit exo70 family protein H2 | exocyst subunit exo70 family protein H4 | exocyst subunit exo70 family protein H1","Exo70 (PF03081) [1.000]","NULL / Representative annotation below 0.1%","exocytosis (GO:0006887) [1.000]","5"
"Pn12.952",8043,"Plant invertase/pectin methylesterase inhibitor superfamily [1.000]","Plant invertase/pectin methylesterase inhibitor superfamily","Pectinesterase (PF01095) [1.000] | PMEI (PF04043) [0.960]","pectinesterase activity (GO:0030599) [1.000] | enzyme inhibitor activity (GO:0004857) [0.960]","cell wall modification (GO:0042545) [1.000]","5"
"Pn13.1157",76,"Homeobox-leucine zipper protein ROC7 [0.231] | Homeobox-leucine zipper protein ANTHOCYANINLESS 2 [0.152] | Homeobox-leucine zipper protein HDG11 [0.105] | Homeobox-leucine zipper protein GLABRA 2 [0.101] | Homeobox-leucine zipper protein ROC3 [0.090] | Homeobox-leucine zipper protein ROC8 [0.076] | Homeobox-leucine zipper protein MERISTEM L1 [0.036] | Homeobox-leucine zipper protein HDG8 [0.036] | Homeobox-leucine zipper protein ROC5 [0.022] | Homeobox-leucine zipper protein HDG1 [0.018] | Homeobox-leucine zipper protein ROC2 [0.018] | Homeobox-leucine zipper protein ROC4 [0.018] | Homeobox-leucine zipper protein ROC1 [0.018] | Homeobox-leucine zipper protein ROC6 [0.014] | Homeobox-leucine zipper protein HDG2 [0.011] | Homeobox-leucine zipper protein HDG7 [0.011] | Homeobox-leucine zipper protein ROC9 [0.007] | Homeobox-leucine zipper protein HDG5 [0.007] | Homeobox-leucine zipper protein HDG9 [0.007] | Homeobox-leucine zipper protein HDG12 [0.007] | Homeobox-leucine zipper protein HDG4 [0.007] | Homeobox-leucine zipper protein HDG3 [0.004] | Homeobox-leucine zipper protein HDG10 [0.004]","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein | HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain | homeodomain GLABROUS 8 | homeodomain GLABROUS 11 | homeodomain GLABROUS 2 | homeodomain GLABROUS 1 | homeodomain GLABROUS 12 | homeodomain GLABROUS 3 | homeodomain GLABROUS 10 | protodermal factor 2 | homeodomain GLABROUS 7 | homeodomain GLABROUS 9 | homeobox-7 | homeodomain GLABROUS 4","START (PF01852) [0.996] | Homeobox (PF00046) [0.924] | Exo70 (PF03081) [0.004] | PORR (PF11955) [0.004]","lipid binding (GO:0008289) [0.996] | sequence-specific DNA binding (GO:0043565) [0.924] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.924]","regulation of transcription, DNA-templated (GO:0006355) [0.924] | exocytosis (GO:0006887) [0.004]","2"
"Pn13.1190",985,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","2OG-FeII_Oxy (PF03171) [1.000] | DIOX_N (PF14226) [0.987]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn13.1199",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","1"
"Pn13.1209",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","1"
"Pn13.1213",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","1"
"Pn13.1217",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","1"
"Pn13.1375",1204,"Auxin-responsive protein IAA4 [0.706] | Auxin-responsive protein IAA24 [0.059] | Auxin-responsive protein IAA23 [0.044] | Auxin-responsive protein IAA3 [0.044] | Auxin-responsive protein IAA12 [0.044] | Auxin-responsive protein IAA14 [0.044] | Auxin-responsive protein IAA31 [0.044] | auxin-induced protein 13 [0.015]","AUX/IAA transcriptional regulator family protein","AUX_IAA (PF02309) [1.000]","NULL / Representative annotation below 0.1%","regulation of transcription, DNA-templated (GO:0006355) [1.000]","1"
"Pn13.1561",129,"UDP-Glycosyltransferase superfamily protein [1.000]","UDP-Glycosyltransferase superfamily protein | UDP-glycosyltransferase 73B4 | UDP-glucosyl transferase 73B5 | UDP-glucosyl transferase 73C2 | UDP-glucosyl transferase 73B1 | UDP-glucosyl transferase 73B3 | UDP-glucosyl transferase 73C7 | UDP-glucosyltransferase 73B2 | UDP-glucosyl transferase 73D1 | don-glucosyltransferase 1 | UDP-glucosyl transferase 73C1 | UDP-glucosyl transferase 73C6","UDPGT (PF00201) [0.971] | F-box (PF00646) [0.005] | zf-CCHC (PF00098) [0.005]","transferase activity, transferring hexosyl groups (GO:0016758) [0.971] | nucleic acid binding (GO:0003676) [0.005] | protein binding (GO:0005515) [0.005] | zinc ion binding (GO:0008270) [0.005]","metabolic process (GO:0008152) [0.971]","5"
"Pn13.1873",39253,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn13.2009",4220,"myb domain protein 85 [0.457] | myb domain protein 42 [0.457] | myb domain protein 20 [0.057] | myb domain protein 40 [0.029]","myb domain protein 42 | myb domain protein 85","Myb_DNA-binding (PF00249) [1.000]","chromatin binding (GO:0003682) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn13.228",1848,"F-box family protein [0.073]","Unkown protein(s) / No TAIR description(s)","DUF295 (PF03478) [0.927] | F-box (PF00646) [0.255] | F-box-like (PF12937) [0.127]","protein binding (GO:0005515) [0.255]","NULL / Representative annotation below 0.1%","2"
"Pn13.887",4532,"Plant invertase/pectin methylesterase inhibitor superfamily [1.000]","methylesterase PCR A","Pectinesterase (PF01095) [1.000] | PMEI (PF04043) [0.971]","pectinesterase activity (GO:0030599) [1.000] | enzyme inhibitor activity (GO:0004857) [0.971]","cell wall modification (GO:0042545) [1.000]","4"
"Pn14.132",1822,"Nucleotide-sugar transporter family protein [1.000]","Nucleotide-sugar transporter family protein | Drug/metabolite transporter superfamily protein","TPT (PF03151) [0.982] | EamA (PF00892) [0.196] | UAA (PF08449) [0.036]","NULL / Representative annotation below 0.1%","transmembrane transport (GO:0055085) [0.036]","2"
"Pn14.1524",777,"adenine phosphoribosyltransferase 5 [1.000]","adenine phosphoribosyl transferase 4 | adenine phosphoribosyl transferase 1 | adenine phosphoribosyl transferase 2 | adenine phosphoribosyltransferase 5 | adenine phosphoribosyl transferase 3","Pribosyltran (PF00156) [1.000]","NULL / Representative annotation below 0.1%","nucleoside metabolic process (GO:0009116) [1.000]","5"
"Pn14.249",366,"lipid phosphate phosphatase 3 [0.650] | lipid phosphate phosphatase 2 [0.350]","Phosphatidic acid phosphatase (PAP2) family protein | lipid phosphate phosphatase 3 | lipid phosphate phosphatase 2 | phosphatidic acid phosphatase 1","PAP2 (PF01569) [0.991] | PB1 (PF00564) [0.009]","catalytic activity (GO:0003824) [0.991] | protein binding (GO:0005515) [0.009]","NULL / Representative annotation below 0.1%","4"
"Pn14.313",2190,"LL-diaminopimelate aminotransferase [1.000]","AGD2-like defense response protein 1 | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","Aminotran_1_2 (PF00155) [1.000]","pyridoxal phosphate binding (GO:0030170) [1.000]","biosynthetic process (GO:0009058) [1.000]","3"
"Pn14.481",3714,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF4228 (PF14009) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn14.651",1360,"5'-nucleotidase SurE [0.984] | 5'-nucleotidase SurE 2 [0.016]","Survival protein SurE-like phosphatase/nucleotidase","SurE (PF01975) [1.000]","hydrolase activity (GO:0016787) [1.000]","NULL / Representative annotation below 0.1%","1"
"Pn14.653",1360,"5'-nucleotidase SurE [0.984] | 5'-nucleotidase SurE 2 [0.016]","Survival protein SurE-like phosphatase/nucleotidase","SurE (PF01975) [1.000]","hydrolase activity (GO:0016787) [1.000]","NULL / Representative annotation below 0.1%","1"
"Pn14.664",96,"Non-specific lipid-transfer protein [0.213] | Non-specific lipid-transfer protein 1 [0.149] | Non-specific lipid-transfer protein 2 [0.123] | Non-specific lipid-transfer protein 3 [0.123] | Non-specific lipid-transfer protein A [0.098] | Non-specific lipid-transfer protein B [0.064] | Non-specific lipid-transfer protein 8 [0.064] | Non-specific lipid-transfer protein 4 [0.043] | Non-specific lipid-transfer protein 6 [0.030] | Non-specific lipid-transfer protein 11 [0.026] | Non-specific lipid-transfer protein 10 [0.017] | Non-specific lipid-transfer protein 12 [0.009] | Non-specific lipid-transfer protein 2B [0.009] | Non-specific lipid-transfer protein C, cotyledon-specific isoform [0.009] | Non-specific lipid-transfer protein 5 [0.009] | Non-specific lipid-transfer protein 2A [0.004] | Non-specific lipid-transfer protein P5 [0.004] | Non-specific lipid-transfer protein 7 [0.004] | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [0.004]","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | lipid transfer protein 1 | lipid transfer protein 3 | lipid transfer protein | lipid transfer protein 12 | lipid transfer protein 6 | lipid transfer protein 5 | lipid transfer protein 4 | lipid transfer protein 2","Tryp_alpha_amyl (PF00234) [0.821] | LTP_2 (PF14368) [0.136]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn14.740",194,"Glucose-methanol-choline (GMC) oxidoreductase family protein [0.586] | SPX domain-containing membrane protein [0.414]","Glucose-methanol-choline (GMC) oxidoreductase family protein | Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","GMC_oxred_C (PF05199) [0.592] | GMC_oxred_N (PF00732) [0.592] | SPX (PF03105) [0.401] | MFS_1 (PF07690) [0.389] | Sugar_tr (PF00083) [0.006]","flavin adenine dinucleotide binding (GO:0050660) [0.592] | oxidoreductase activity, acting on CH-OH group of donors (GO:0016614) [0.592] | transmembrane transporter activity (GO:0022857) [0.006]","oxidation-reduction process (GO:0055114) [0.592] | transmembrane transport (GO:0055085) [0.395]","1"
"Pn14.976",895,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 [0.551] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase 3 [0.244] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 [0.141] | 3-hydroxy-3-methylglutaryl-coenzyme A reductase [0.064]","3-hydroxy-3-methylglutaryl-CoA reductase 2 | hydroxy methylglutaryl CoA reductase 1","HMG-CoA_red (PF00368) [1.000]","hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420) [1.000] | coenzyme binding (GO:0050662) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | coenzyme A metabolic process (GO:0015936) [1.000]","4"
"Pn15.1052",2517,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI [1.000]","NAD(P)-binding Rossmann-fold superfamily protein","adh_short_C2 (PF13561) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn15.1074",2517,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI [1.000]","NAD(P)-binding Rossmann-fold superfamily protein","adh_short_C2 (PF13561) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn15.1114",11047,"myb domain protein 26 [1.000]","myb domain protein 26","Myb_DNA-binding (PF00249) [1.000]","chromatin binding (GO:0003682) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn15.1789",2878,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn15.1931",615,"Histone superfamily protein [1.000]","Histone superfamily protein","Histone (PF00125) [1.000] | Cyclin_N (PF00134) [0.011] | Cyclin_C (PF02984) [0.011]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn15.1979",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","2"
"Pn15.1982",782,"Histone H2B [0.675] | Histone H2B.3 [0.108] | Histone H2B.11 [0.096] | Histone H2B.1 [0.072] | Histone H2B.10 [0.036] | Histone H2B.2 [0.012]","Histone superfamily protein | histone B2","Histone (PF00125) [1.000]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn15.2093",2233,"Protein kinase superfamily protein [0.882] | Wall-associated receptor kinase-like 20 [0.039] | Malectin/receptor-like protein kinase family protein [0.039] | Wall-associated receptor kinase-like 22 [0.020] | somatic embryogenesis receptor-like kinase 1 [0.020]","Protein kinase superfamily protein","Pkinase_Tyr (PF07714) [0.980] | DUF677 (PF05055) [0.039]","protein kinase activity (GO:0004672) [0.980]","protein phosphorylation (GO:0006468) [0.980]","6"
"Pn15.2190",8980,"Pollen Ole e 1 allergen and extensin family protein [0.913]","Pollen Ole e 1 allergen and extensin family protein","Pollen_Ole_e_I (PF01190) [1.000] | Senescence_reg (PF04520) [0.043]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn15.2457",1638,"ribose-5-phosphate isomerase 2 [1.000]","Ribose 5-phosphate isomerase, type A protein | ribose-5-phosphate isomerase 2","Rib_5-P_isom_A (PF06026) [1.000] | Mem_trans (PF03547) [0.017] | ENT (PF03735) [0.017] | Agenet (PF05641) [0.017]","ribose-5-phosphate isomerase activity (GO:0004751) [1.000]","pentose-phosphate shunt, non-oxidative branch (GO:0009052) [1.000] | transmembrane transport (GO:0055085) [0.017]","2"
"Pn15.2494",10030,"FAD-binding Berberine family protein [1.000]","Unkown protein(s) / No TAIR description(s)","BBE (PF08031) [1.000] | FAD_binding_4 (PF01565) [0.952]","flavin adenine dinucleotide binding (GO:0050660) [1.000] | oxidoreductase activity (GO:0016491) [1.000] | UDP-N-acetylmuramate dehydrogenase activity (GO:0008762) [0.952]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn15.2498",4931,"Adenylate isopentenyltransferase [0.531] | isopentenyltransferase 1 [0.156] | tRNA dimethylallyltransferase [0.156] | tRNA dimethylallyltransferase 2 [0.062] | Adenylate isopentenyltransferase 4 [0.031] | isopentenyltransferase 5 [0.031] | isopentenyltransferase 6 [0.031]","isopentenyltransferase 1 | ATP/ADP isopentenyltransferases","IPPT (PF01715) [1.000] | IPT (PF01745) [0.031]","ATP binding (GO:0005524) [1.000] | dimethylallyltranstransferase activity (GO:0004161) [0.031]","tRNA processing (GO:0008033) [1.000] | biosynthetic process (GO:0009058) [0.031]","6"
"Pn15.2500",10659,"RING/U-box superfamily protein [1.000]","RING/U-box superfamily protein","zf-RING_2 (PF13639) [1.000]","protein binding (GO:0005515) [1.000] | zinc ion binding (GO:0008270) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn15.2585",96,"Non-specific lipid-transfer protein [0.213] | Non-specific lipid-transfer protein 1 [0.149] | Non-specific lipid-transfer protein 2 [0.123] | Non-specific lipid-transfer protein 3 [0.123] | Non-specific lipid-transfer protein A [0.098] | Non-specific lipid-transfer protein B [0.064] | Non-specific lipid-transfer protein 8 [0.064] | Non-specific lipid-transfer protein 4 [0.043] | Non-specific lipid-transfer protein 6 [0.030] | Non-specific lipid-transfer protein 11 [0.026] | Non-specific lipid-transfer protein 10 [0.017] | Non-specific lipid-transfer protein 12 [0.009] | Non-specific lipid-transfer protein 2B [0.009] | Non-specific lipid-transfer protein C, cotyledon-specific isoform [0.009] | Non-specific lipid-transfer protein 5 [0.009] | Non-specific lipid-transfer protein 2A [0.004] | Non-specific lipid-transfer protein P5 [0.004] | Non-specific lipid-transfer protein 7 [0.004] | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [0.004]","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | lipid transfer protein 1 | lipid transfer protein 3 | lipid transfer protein | lipid transfer protein 12 | lipid transfer protein 6 | lipid transfer protein 5 | lipid transfer protein 4 | lipid transfer protein 2","Tryp_alpha_amyl (PF00234) [0.821] | LTP_2 (PF14368) [0.136]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn15.620",8377,"NDH-dependent cyclic electron flow 5 [1.000]","NDH-dependent cyclic electron flow 5","Aldose_epim (PF01263) [0.042]","isomerase activity (GO:0016853) [0.042]","carbohydrate metabolic process (GO:0005975) [0.042]","1"
"Pn15.720",907,"ABC-2 type transporter family protein [0.410] | 2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial [0.359] | 2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial [0.231]","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | ABC-2 type transporter family protein","E1_dh (PF00676) [0.590] | ABC_tran (PF00005) [0.397] | ABC2_membrane (PF01061) [0.346]","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624) [0.590] | ATP binding (GO:0005524) [0.397] | ATPase activity (GO:0016887) [0.397]","metabolic process (GO:0008152) [0.590]","4"
"Pn15.800",3841,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn15.841",4112,"Uncharacterised conserved protein (UCP012943) [0.972]","Uncharacterised conserved protein (UCP012943)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn15.874",4112,"Uncharacterised conserved protein (UCP012943) [0.972]","Uncharacterised conserved protein (UCP012943)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn16.1019",308,"polyubiquitin 10 [0.945] | polyubiquitin 3 [0.055]","ubiquitin 11 | Ubiquitin family protein | polyubiquitin 10 | polyubiquitin 3 | ubiquitin 8 | ubiquitin 4","ubiquitin (PF00240) [1.000] | DENN (PF02141) [0.008]","protein binding (GO:0005515) [1.000]","NULL / Representative annotation below 0.1%","2"
