Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn11.211,11,Leucine-rich receptor-like protein kinase family protein ,Leucine-rich repeat protein kinase family protein ,LRR_1 ,protein kinase activity ,"protein phosphorylation (GO:0006468) [0.927] | intracellular protein transport (GO:0006886) [0.028] | vesicle-mediated transport (GO:0016192) [0.028] | tRNA aminoacylation for protein translation (GO:0006418) [0.001] | tRNA aminoacylation (GO:0043039) [0.001] | regulation of transcription, DNA-templated (GO:0006355) [0.001] | RNA-dependent DNA replication (GO:0006278) [0.001]",1
Pn11.214,363,DNA-directed RNA polymerase 2A ,DNA/RNA polymerases superfamily protein ,RNA_pol ,DNA-directed RNA polymerase activity ,"transcription, DNA-templated (GO:0006351) [0.564]",2
Pn11.2158,1100,O-fucosyltransferase family protein ,O-fucosyltransferase family protein,O-FucT ,ADP binding ,NULL / Representative annotation below 0.1%,3
Pn11.219,3235,Chaperone protein DnaJ ,Chaperone DnaJ-domain superfamily protein,DnaJ ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn11.2193,3941,Dormancy/auxin associated family protein ,Dormancy/auxin associated family protein,Auxin_repressed ,metal ion binding ,NULL / Representative annotation below 0.1%,2
Pn11.2203,184,Plant invertase/pectin methylesterase inhibitor superfamily ,Plant invertase/pectin methylesterase inhibitor superfamily ,Pectinesterase ,pectinesterase activity ,cell wall modification (GO:0042545) [0.994] | protein phosphorylation (GO:0006468) [0.012],6
Pn11.2210,9124,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),Mit_KHE1 ,ATP binding ,microtubule-based movement (GO:0007018) [0.043],3
Pn11.23,291,U-box domain-containing protein kinase family protein ,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain ,Usp ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000] | response to stress (GO:0006950) [0.829],1
Pn11.2317,4575,Heavy metal transport/detoxification superfamily protein ,Heavy metal transport/detoxification superfamily protein ,HMA ,metal ion binding ,metal ion transport (GO:0030001) [1.000],3
Pn11.2335,35,multidrug resistance-associated protein 3 ,multidrug resistance-associated protein 7 ,ABC_tran ,ATP binding ,transport (GO:0006810) [0.985] | transmembrane transport (GO:0055085) [0.985] | metabolic process (GO:0008152) [0.002] | ubiquitin-dependent protein catabolic process (GO:0006511) [0.002] | pentose-phosphate shunt (GO:0006098) [0.002] | oxidation-reduction process (GO:0055114) [0.002],5
Pn11.2342,2986,RING/U-box superfamily protein ,RING/U-box superfamily protein,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn11.2349,8105,Transducin/WD40 repeat-like superfamily protein ,Transducin/WD40 repeat-like superfamily protein,WD40 ,protein binding ,NULL / Representative annotation below 0.1%,3
Pn11.2366,7006,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex ,2-oxoacid dehydrogenases acyltransferase family protein,2-oxoacid_dh ,"transferase activity, transferring acyl groups ",metabolic process (GO:0008152) [1.000],5
Pn11.2368,7369,RING/U-box superfamily protein ,TOXICOS EN LEVADURA 2 ,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn11.2375,9997,Heavy metal transport/detoxification superfamily protein ,Unkown protein(s) / No TAIR description(s),HMA ,metal ion binding ,metal ion transport (GO:0030001) [0.952],5
Pn11.2377,6914,DnaJ homolog subfamily B member 6 ,Chaperone DnaJ-domain superfamily protein,DnaJ ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.2417,8644,Pre-mRNA 3'-end-processing factor FIP1 ,homolog of yeast FIP1 [V],Fip1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn11.2438,7416,"Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic ",chloroplast RNA binding,NAD_binding_10 ,coenzyme binding ,cellular metabolic process (GO:0044237) [0.308],6
Pn11.2463,5969,Polyketide cyclase/dehydrase and lipid transport superfamily protein ,Polyketide cyclase/dehydrase and lipid transport superfamily protein,Polyketide_cyc ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn11.247,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.251,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.2519,658,Cysteine proteinase inhibitor 1 ,Cystatin/monellin superfamily protein ,Cystatin ,cysteine-type endopeptidase inhibitor activity ,NULL / Representative annotation below 0.1%,5
Pn11.2549,8301,"polyribonucleotide nucleotidyltransferase, putative ","polyribonucleotide nucleotidyltransferase, putative",S1 ,RNA binding ,RNA processing (GO:0006396) [0.920] | protein phosphorylation (GO:0006468) [0.040],3
Pn11.255,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.2557,1016,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1645),DUF1645 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.2562,7444,DOF zinc finger protein 1 ,Dof-type zinc finger DNA-binding family protein,zf-Dof ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",5
Pn11.2569,1681,DEAD-box ATP-dependent RNA helicase 46 ,DEAD box RNA helicase family protein ,DEAD ,ATP-dependent helicase activity ,NULL / Representative annotation below 0.1%,3
Pn11.2580,7818,Pre-mRNA-splicing regulator WTAP ,FKBP12 interacting protein 37,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn11.2597,3402,Leucine-rich repeat protein kinase family protein ,receptor like protein 4,Malectin_like ,protein binding ,NULL / Representative annotation below 0.1%,3
Pn11.2598,2271,Beta-hexosaminidase subunit B2 ,beta-hexosaminidase 1 ,Glyco_hydro_20 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [0.960],3
Pn11.2607,9685,Dof-type zinc finger DNA-binding family protein ,Dof-type zinc finger DNA-binding family protein,zf-Dof ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",4
Pn11.2632,1016,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1645),DUF1645 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.266,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.2665,1017,Leucine-rich repeat receptor-like protein kinase family protein ,Leucine-rich repeat (LRR) family protein ,LRR_8 ,protein binding ,NULL / Representative annotation below 0.1%,4
Pn11.2700,1124,fructose-bisphosphate aldolase 2 ,Aldolase superfamily protein,Glycolytic ,fructose-bisphosphate aldolase activity ,glycolysis (GO:0006096) [1.000],4
Pn11.2701,6183,Cytochrome P450 superfamily protein ,"cytochrome P450, family 724, subfamily A, polypeptide 1",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],6
Pn11.2719,6169,BEST Arabidopsis thaliana protein match is: hapless 8 . ,hapless 8,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn11.274,1703,response regulator 12 ,response regulator 18 ,Response_reg ,chromatin binding ,phosphorelay signal transduction system (GO:0000160) [0.966],2
Pn11.2777,2885,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,Isochorismatase ,catalytic activity ,metabolic process (GO:0008152) [0.045],4
Pn11.2799,8064,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF4378 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn11.2832,10662,Chaperone protein DnaJ ,Chaperone DnaJ-domain superfamily protein,DnaJ ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn11.30,494,Protein phosphatase 2C family protein ,Protein phosphatase 2C family protein ,PP2C ,catalytic activity ,NULL / Representative annotation below 0.1%,2
Pn11.300,3950,ENTH/ANTH/VHS superfamily protein ,ENTH/ANTH/VHS superfamily protein,ANTH ,phospholipid binding ,NULL / Representative annotation below 0.1%,5
Pn11.309,7266,Haloalkane dehalogenase ,alpha/beta-Hydrolases superfamily protein,Abhydrolase_6 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn11.315,596,CYCLIN D1;1 ,CYCLIN D1;1 ,Cyclin_N ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn11.321,596,CYCLIN D1;1 ,CYCLIN D1;1 ,Cyclin_N ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn11.348,1828,Ubiquitin system component Cue protein ,Ubiquitin system component Cue protein,CUE ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn11.349,777,adenine phosphoribosyltransferase 5 ,adenine phosphoribosyl transferase 4 ,Pribosyltran ,NULL / Representative annotation below 0.1%,nucleoside metabolic process (GO:0009116) [1.000],1
Pn11.386,1703,response regulator 12 ,response regulator 18 ,Response_reg ,chromatin binding ,phosphorelay signal transduction system (GO:0000160) [0.966],2
Pn11.413,7051,"UPF0603 protein At1g54780, chloroplastic ",thylakoid lumen 18.3 kDa protein,TPM ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn11.417,7266,Haloalkane dehalogenase ,alpha/beta-Hydrolases superfamily protein,Abhydrolase_6 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn11.465,639,Homeobox-leucine zipper protein family ,homeobox 1,HALZ ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.978]",2
Pn11.529,6658,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF761),DUF761 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn11.536,36699,Unkown protein / Representative AHRD below 0.1%,Protein of Unknown Function (DUF239),DUF239 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn11.549,3113,GATA transcription factor 23 ,GATA type zinc finger transcription factor family protein ,GATA ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",6
Pn11.550,2748,Cytochrome P450 superfamily protein ,"cytochrome P450, family 90, subfamily D, polypeptide 1 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],6
Pn11.553,48,beta galactosidase 1 ,beta-galactosidase 4 ,Glyco_hydro_35 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ","carbohydrate metabolic process (GO:0005975) [0.976] | DNA integration (GO:0015074) [0.003] | mRNA splicing, via spliceosome (GO:0000398) [0.003]",6
Pn11.621,2735,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1336),DUF1336 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.622,1733,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,2
Pn11.645,2735,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1336),DUF1336 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.646,1733,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,2
Pn11.669,728,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,AAA ,ATP binding ,NULL / Representative annotation below 0.1%,5
Pn11.67,10401,homeobox protein 54 ,homeobox protein 54,RRM_1 ,nucleic acid binding ,NULL / Representative annotation below 0.1%,2
Pn11.674,728,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,AAA ,ATP binding ,NULL / Representative annotation below 0.1%,5
Pn11.725,639,Homeobox-leucine zipper protein family ,homeobox 1,HALZ ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.978]",2
Pn11.732,11707,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF1262 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn11.747,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.754,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.782,2318,Regulator of Vps4 activity in the MVB pathway protein ,Regulator of Vps4 activity in the MVB pathway protein,Ist1 ,iron ion binding ,oxidation-reduction process (GO:0055114) [0.020],1
Pn11.851,5943,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,3
Pn11.855,1243,"Protein CURVATURE THYLAKOID 1B, chloroplastic ",photosystem I P subunit,CAAD ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn11.869,5999,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase ",homolog of asparagine-linked glycosylation 12,Glyco_transf_22 ,"transferase activity, transferring glycosyl groups ",NULL / Representative annotation below 0.1%,3
Pn11.877,99,Glycosyl hydrolase family protein ,Glycosyl hydrolase family protein ,Glyco_hydro_3_C ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [1.000] | translational initiation (GO:0006413) [0.004] | proteolysis (GO:0006508) [0.004],1
Pn11.884,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn11.885,3955,caffeoyl-CoA 3-O-methyltransferase ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,Methyltransf_3 ,O-methyltransferase activity ,NULL / Representative annotation below 0.1%,2
Pn11.914,363,DNA-directed RNA polymerase 2A ,DNA/RNA polymerases superfamily protein ,RNA_pol ,DNA-directed RNA polymerase activity ,"transcription, DNA-templated (GO:0006351) [0.564]",2
Pn11.928,11032,Galactose oxidase/kelch repeat superfamily protein ,Galactose oxidase/kelch repeat superfamily protein,Kelch_1 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn11.949,5825,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF975 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn11.95,510,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 ,SEC7-like guanine nucleotide exchange family protein ,DUF1981 ,ARF guanyl-nucleotide exchange factor activity ,regulation of ARF protein signal transduction (GO:0032012) [0.860],3
Pn11.950,157,HXXXD-type acyl-transferase family protein ,HXXXD-type acyl-transferase family protein ,Transferase ,"transferase activity, transferring acyl groups other than amino-acyl groups ",cell wall macromolecule catabolic process (GO:0016998) [0.006],2
Pn11.960,2622,Fatty acid hydroxylase superfamily ,Fatty acid hydroxylase superfamily,Wax2_C ,iron ion binding ,fatty acid biosynthetic process (GO:0006633) [0.935] | oxidation-reduction process (GO:0055114) [0.935],2
Pn11.963,1084,Tetraspanin family protein ,Tetraspanin family protein ,Tetraspannin ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn12.1026,214,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,Trehalose_PPase ,catalytic activity ,trehalose biosynthetic process (GO:0005992) [1.000],5
Pn12.105,3872,F-box family protein ,F-box family protein,F-box ,protein binding ,NULL / Representative annotation below 0.1%,4
Pn12.1097,28641,proline-rich extensin-like receptor kinase 10 ,Unkown protein(s) / No TAIR description(s),Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],3
Pn12.1107,1778,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,Methyltransf_7 ,methyltransferase activity ,NULL / Representative annotation below 0.1%,3
Pn12.1131,1188,Protein LURP-one-related 13 ,Protein of unknown function (DUF567),Tub_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn12.1147,6314,p21-activated protein kinase-interacting protein 1-like ,Transducin/WD40 repeat-like superfamily protein,WD40 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn12.1157,743,RING/U-box superfamily protein ,RING/U-box superfamily protein ,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn12.1202,42,Ribonuclease H-like superfamily protein ,RNA-directed DNA polymerase (reverse transcriptase) ,RVT_3 ,RNA binding ,"RNA-dependent DNA replication (GO:0006278) [0.041] | cellular protein metabolic process (GO:0044267) [0.005] | regulation of transcription, DNA-templated (GO:0006355) [0.002] | defense response (GO:0006952) [0.002] | oxidation-reduction process (GO:0055114) [0.002]",4
Pn12.1207,3250,homeobox protein 34 ,homeobox protein 26 ,ZF-HD_dimer ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.1238,4175,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),Frigida ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn12.1249,9476,RING/U-box superfamily protein ,RING/U-box superfamily protein,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,6
Pn12.1274,6563,"Chlorophyll a-b binding protein 1A, chloroplastic ",light harvesting complex of photosystem II 5,Chloroa_b-bind ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn12.1312,743,RING/U-box superfamily protein ,RING/U-box superfamily protein ,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn12.1337,4599,UDP-Glycosyltransferase superfamily protein ,Unkown protein(s) / No TAIR description(s),UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [1.000],1
Pn12.135,1298,Filament-like plant protein ,Plant protein of unknown function (DUF869),DUF869 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn12.136,4839,Glutamyl-tRNA(Gln) amidotransferase subunit A ,Unkown protein(s) / No TAIR description(s),Amidase ,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor ",NULL / Representative annotation below 0.1%,3
Pn12.138,11849,auxin response factor 17 ,auxin response factor 17,B3 ,DNA binding ,"response to hormone (GO:0009725) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [1.000]",2
Pn12.141,755,glyoxal oxidase-related protein ,glyoxal oxidase-related protein,Glyoxal_oxid_N ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.1419,3193,MADS-box transcription factor 47 ,K-box region and MADS-box transcription factor family protein ,K-box ,sequence-specific DNA binding transcription factor activity ,"regulation of transcription, DNA-templated (GO:0006355) [0.976]",4
Pn12.1447,3889,loricrin-related ,loricrin-related,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn12.1458,9594,cyclic nucleotide gated channel 10 ,Unkown protein(s) / No TAIR description(s),cNMP_binding ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn12.1461,8575,"Stress enhanced protein 2, chloroplastic ",stress enhanced protein 2,Chloroa_b-bind ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn12.1473,4811,FAD/NAD(P)-binding oxidoreductase family protein ,FAD/NAD(P)-binding oxidoreductase family protein,Amino_oxidase ,oxidoreductase activity ,oxidation-reduction process (GO:0055114) [0.636] | protein phosphorylation (GO:0006468) [0.394],4
Pn12.15,321,Homeodomain-like superfamily protein ,Homeodomain-like superfamily protein ,Myb_CC_LHEQLE ,chromatin binding ,NULL / Representative annotation below 0.1%,5
Pn12.1503,4409,phytochrome kinase substrate 1 ,phytochrome kinase substrate 1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.1509,745,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,5
Pn12.1520,405,Wound-responsive family protein ,Wound-responsive family protein,DUF3774 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn12.1549,3992,"Starch synthase 2, chloroplastic/amyloplastic ",starch synthase 2,Glyco_transf_5 ,NULL / Representative annotation below 0.1%,biosynthetic process (GO:0009058) [0.972] | transmembrane transport (GO:0055085) [0.028],1
Pn12.1550,3743,Charged multivesicular body protein 1 ,vacuolar protein sorting 46.1 ,Snf7 ,NULL / Representative annotation below 0.1%,protein transport (GO:0015031) [1.000],2
Pn12.1594,1444,O-acetyltransferase family protein ,O-acetyltransferase family protein,Cas1_AcylT ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn12.160,1453,ATP-citrate synthase ,ATP-citrate lyase A-3 ,ATP-grasp_2 ,RNA binding ,NULL / Representative annotation below 0.1%,3
Pn12.1608,11917,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn12.1633,4701,RNA-binding (RRM/RBD/RNP motifs) family protein ,RNA-binding (RRM/RBD/RNP motifs) family protein,RRM_1 ,nucleic acid binding ,NULL / Representative annotation below 0.1%,3
Pn12.1638,2414,NAD(P)-binding Rossmann-fold superfamily protein ,NAD(P)-binding Rossmann-fold superfamily protein,Epimerase ,coenzyme binding ,cellular metabolic process (GO:0044237) [0.958] | steroid biosynthetic process (GO:0006694) [0.062] | oxidation-reduction process (GO:0055114) [0.062],4
Pn12.1656,7678,Sterile alpha motif (SAM) domain-containing protein ,Sterile alpha motif (SAM) domain-containing protein,SAM_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn12.1687,1385,nodulin MtN21 /EamA-like transporter family protein ,Walls Are Thin 1 ,EamA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.171,10100,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF679),DUF679 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.176,2686,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF793 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn12.1793,2548,amino acid permease 7 ,amino acid permease 7,Aa_trans ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn12.1812,2008,Disease resistance protein (TIR-NBS class) ,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,NB-ARC ,ADP binding ,signal transduction (GO:0007165) [0.113],2
Pn12.1827,13676,NAD(P)-binding Rossmann-fold superfamily protein ,Unkown protein(s) / No TAIR description(s),Epimerase ,coenzyme binding ,cellular metabolic process (GO:0044237) [1.000],4
Pn12.1876,1385,nodulin MtN21 /EamA-like transporter family protein ,Walls Are Thin 1 ,EamA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn12.188,7729,ATP-dependent DNA helicase MPH1 ,DEAD/DEAH box RNA helicase family protein ,Helicase_C ,ATP binding ,NULL / Representative annotation below 0.1%,3
Pn12.189,7729,ATP-dependent DNA helicase MPH1 ,DEAD/DEAH box RNA helicase family protein ,Helicase_C ,ATP binding ,NULL / Representative annotation below 0.1%,3
Pn12.190,7729,ATP-dependent DNA helicase MPH1 ,DEAD/DEAH box RNA helicase family protein ,Helicase_C ,ATP binding ,NULL / Representative annotation below 0.1%,3
Pn12.192,8310,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR)-like superfamily protein,TPR_11 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn12.1945,595,Leucine-rich repeat (LRR) family protein ,Leucine-rich repeat (LRR) family protein ,LRRNT_2 ,protein binding ,NULL / Representative annotation below 0.1%,1
Pn12.1948,35842,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn12.2005,3563,RING/U-box superfamily protein ,RING/U-box superfamily protein,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn12.2020,6150,ER membrane protein complex subunit 4 ,Unkown protein(s) / No TAIR description(s),DUF1077 ,ATP binding ,protein phosphorylation (GO:0006468) [0.034] | oxidation-reduction process (GO:0055114) [0.034],2
Pn12.2046,4435,Reticulon family protein ,Reticulon family protein,Reticulon ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn12.2086,9464,Protein ApaG ,Unkown protein(s) / No TAIR description(s),DUF525 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn12.2095,598,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],4
Pn12.2109,9464,Protein ApaG ,Unkown protein(s) / No TAIR description(s),DUF525 ,protein binding ,NULL / Representative annotation below 0.1%,3
Pn12.2184,3328,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial ",pyruvate dehydrogenase complex E1 alpha subunit ,E1_dh ,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor ",metabolic process (GO:0008152) [1.000],2
Pn12.2185,3328,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial ",pyruvate dehydrogenase complex E1 alpha subunit ,E1_dh ,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor ",metabolic process (GO:0008152) [1.000],2
Pn12.226,5883,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),UPF0261 ,metal ion binding ,metal ion transport (GO:0030001) [0.034],6
Pn12.243,4472,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein,AAA_12 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn12.248,1008,Sterol 3-beta-glucosyltransferase ,UDP-Glycosyltransferase superfamily protein,Glyco_transf_28 ,"transferase activity, transferring hexosyl groups ",carbohydrate metabolic process (GO:0005975) [1.000] | lipid glycosylation (GO:0030259) [1.000] | metabolic process (GO:0008152) [0.770] | oxidation-reduction process (GO:0055114) [0.014],3
Pn12.272,3406,"Fructose-1,6-bisphosphatase, cytosolic ",Inositol monophosphatase family protein,FBPase ,"fructose 1,6-bisphosphate 1-phosphatase activity ",carbohydrate metabolic process (GO:0005975) [1.000] | translation (GO:0006412) [0.025],2
Pn12.283,40305,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn12.289,37,germin-like protein 2 ,RmlC-like cupins superfamily protein ,Cupin_1 ,nutrient reservoir activity ,NULL / Representative annotation below 0.1%,3
