Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A8J6K9A2	unreviewed	A0A8J6K9A2_ELECQ	sphingolipid 4-desaturase (EC 1.14.19.17)	GDO78_010108	Eleutherodactylus coqui (Puerto Rican coqui)	1301
A0A8J6K9Y5	unreviewed	A0A8J6K9Y5_ELECQ	sphingolipid 4-desaturase (EC 1.14.19.17)	GDO78_010108	Eleutherodactylus coqui (Puerto Rican coqui)	1310
A0A8J7P4A2	unreviewed	A0A8J7P4A2_ATRSP	cholesterol 7-desaturase (EC 1.14.19.21)	Daf36 GTO95_0018390	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	460
A0A8J9ZPH4	unreviewed	A0A8J9ZPH4_BRALA	cholesterol 7-desaturase (EC 1.14.19.21)	Hypp2293 BLAG_LOCUS15571	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	451
A0A8S2AGE6	unreviewed	A0A8S2AGE6_ARAAE	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	AARE701A_LOCUS11329	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)	1239
A0A8S9ITS9	unreviewed	A0A8S9ITS9_BRACR	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	F2Q70_00006037	Brassica cretica (Mustard)	1100
A0A8S9J7T3	unreviewed	A0A8S9J7T3_BRACR	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	F2Q68_00001840	Brassica cretica (Mustard)	650
A0A8T0X6A1	unreviewed	A0A8T0X6A1_PANVG	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	PVAP13_1NG248000	Panicum virgatum (Blackwell switchgrass)	406
A0A8T2PT70	unreviewed	A0A8T2PT70_9TELE	cholesterol 7-desaturase (EC 1.14.19.21)	JZ751_001206	Albula glossodonta (roundjaw bonefish)	1033
A0A8T9BWR0	unreviewed	A0A8T9BWR0_9HELO	Acyl-CoA desaturase (EC 1.14.19.1)	OLE1_2 LSUE1_G009970	Lachnellula suecica	469
A0A8U0PJ11	unreviewed	A0A8U0PJ11_SALNM	cholesterol 7-desaturase (EC 1.14.19.21)	zgc:92275	Salvelinus namaycush (Lake trout) (Salmo namaycush)	460
A0A8U0WKF7	unreviewed	A0A8U0WKF7_GLOFF	cholesterol 7-desaturase (EC 1.14.19.21)	LOC119635129	Glossina fuscipes fuscipes (Riverine tsetse fly)	443
A0A8W8KTI4	unreviewed	A0A8W8KTI4_CRAGI	cholesterol 7-desaturase (EC 1.14.19.21)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	463
A0A8W8KTJ3	unreviewed	A0A8W8KTJ3_CRAGI	cholesterol 7-desaturase (EC 1.14.19.21)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	465
A0A8W8KTP0	unreviewed	A0A8W8KTP0_CRAGI	cholesterol 7-desaturase (EC 1.14.19.21)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	459
A0A8W8KW83	unreviewed	A0A8W8KW83_CRAGI	cholesterol 7-desaturase (EC 1.14.19.21)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	467
A0A913Y1V3	unreviewed	A0A913Y1V3_EXADI	cholesterol 7-desaturase (EC 1.14.19.21)		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	453
A0A914BB00	unreviewed	A0A914BB00_PATMI	cholesterol 7-desaturase (EC 1.14.19.21)		Patiria miniata (Bat star) (Asterina miniata)	473
A0A914J968	unreviewed	A0A914J968_9BILA	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (EC 1.14.19.17) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)		Panagrolaimus sp. JU765	934
A0A914VDT9	unreviewed	A0A914VDT9_9BILA	cholesterol 7-desaturase (EC 1.14.19.21)		Plectus sambesii	508
A0A922HGG3	unreviewed	A0A922HGG3_DERFA	cholesterol 7-desaturase (EC 1.14.19.21)	EFTUD1_1 DERF_014055	Dermatophagoides farinae (American house dust mite)	1376
A0JMV7	unreviewed	A0JMV7_XENLA	cholesterol 7-desaturase (EC 1.14.19.21)	XB5992703.S MGC154819 Neverland nvd nvd-Xl XB5992703	Xenopus laevis (African clawed frog)	454
A2R6G7	reviewed	OTAD_ASPNC	Flavin-dependent halogenase otaD (EC 1.14.19.-) (Ochratoxin biosynthesis cluster protein 5) (Ochratoxin biosynthesis cluster protein D)	otaD ota5 An15g07880	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	476
A2WYF4	reviewed	STAD2_ORYSI	Stearoyl-[acyl-carrier-protein] 9-desaturase 2, chloroplastic (Stearoyl-ACP desaturase 2) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 2) (SSI2 homolog) (OsSSI2)	SSI2 OsI_04956	Oryza sativa subsp. indica (Rice)	396
A2XSL4	reviewed	STAD5_ORYSI	Stearoyl-[acyl-carrier-protein] 9-desaturase 5, chloroplastic (Stearoyl-ACP desaturase 5) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 5)	OsI_15603	Oryza sativa subsp. indica (Rice)	391
A2YS71	reviewed	STAD6_ORYSI	Acyl-[acyl-carrier-protein] desaturase 6, chloroplastic (EC 1.14.19.-)	OsI_28171	Oryza sativa subsp. indica (Rice)	422
A3F5L3	reviewed	DES2_SORBI	Fatty acid desaturase DES2 (SbDES2) (EC 1.14.19.-)	DES2 Sb04g029900 SORBIDRAFT_04g029900	Sorghum bicolor (Sorghum) (Sorghum vulgare)	385
A6QLM0	reviewed	PDES1_BOVIN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	PEDS1 PDES TMEM189	Bos taurus (Bovine)	271
A8X8U1	unreviewed	A8X8U1_CAEBR	cholesterol 7-desaturase (EC 1.14.19.21)	daf-36 Cbr-daf-36 CBG09553 CBG_09553	Caenorhabditis briggsae	430
B3MMQ3	unreviewed	B3MMQ3_DROAN	sphingolipid 4-desaturase (EC 1.14.19.17)	Dana\GF15596 dana_GLEANR_16361 GF15596	Drosophila ananassae (Fruit fly)	321
B4F727	unreviewed	B4F727_XENTR	cholesterol 7-desaturase (EC 1.14.19.21)	XB5992703 LOC100216141	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	455
B4K744	unreviewed	B4K744_DROMO	Desaturase 1, isoform A (Desaturase 1, isoform B) (Desaturase 1, isoform C (EC 1.14.19.1))	Dmoj\Desat1 Dmoj_GI10485	Drosophila mojavensis (Fruit fly)	384
B4M0C1	unreviewed	B4M0C1_DROVI	Desaturase 1, isoform A (EC 1.14.19.1) (Desaturase 1, isoform B)	Dvir\Desat1 Dvir_GJ23166	Drosophila virilis (Fruit fly)	384
B4NBP7	unreviewed	B4NBP7_DROWI	cholesterol 7-desaturase (EC 1.14.19.21)	Dwil\nvd Dwil_GK11941	Drosophila willistoni (Fruit fly)	424
B4NJM8	unreviewed	B4NJM8_DROWI	Desaturase 1, isoform A (Desaturase 1, isoform B (EC 1.14.19.1))	Dwil\Desat1 Dwil_GK14407	Drosophila willistoni (Fruit fly)	383
B4PPA5	unreviewed	B4PPA5_DROYA	Desaturase 1, isoform A (EC 1.14.19.-) (Desaturase 1, isoform C)	Dyak\Desat1 Dyak_GE26198	Drosophila yakuba (Fruit fly)	383
B6K5G8	unreviewed	B6K5G8_SCHJY	Acyl-CoA desaturase (EC 1.14.19.1)	SJAG_03943	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	480
B7P313	unreviewed	B7P313_IXOSC	cholesterol 7-desaturase (EC 1.14.19.21)	IscW_ISCW001214	Ixodes scapularis (Black-legged tick) (Deer tick)	376
B7Q1J3	unreviewed	B7Q1J3_IXOSC	cholesterol 7-desaturase (EC 1.14.19.21)	8034512 IscW_ISCW009663	Ixodes scapularis (Black-legged tick) (Deer tick)	409
B7Q1J5	unreviewed	B7Q1J5_IXOSC	cholesterol 7-desaturase (EC 1.14.19.21)	IscW_ISCW009665	Ixodes scapularis (Black-legged tick) (Deer tick)	428
B7SB91	reviewed	FAD12_ACHDO	Acyl-CoA Delta12-desaturase (AdD12Des) (EC 1.14.19.6) (Delta-12/Delta9 desaturase) (AdD12/9des)	D12Des	Acheta domesticus (House cricket)	357
B7SB92	reviewed	FAD12_TRICA	Acyl-CoA Delta-12 desaturase (EC 1.14.19.6) (Acyl-CoA Delta(11) desaturase-like Protein)	D12Des TcasGA2_TC003656	Tribolium castaneum (Red flour beetle)	358
B8A7A3	reviewed	STAD1_ORYSI	Stearoyl-[acyl-carrier-protein] 9-desaturase 1, chloroplastic (Stearoyl-ACP desaturase 1) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 1)	OsI_04666	Oryza sativa subsp. indica (Rice)	381
B8AIC3	reviewed	STAD3_ORYSI	Acyl-[acyl-carrier-protein] desaturase 3, chloroplastic (EC 1.14.19.-)	OsI_07337	Oryza sativa subsp. indica (Rice)	402
B8XJY3	unreviewed	B8XJY3_SOYBN	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SAD1 547808 GLYMA_02G138100	Glycine max (Soybean) (Glycine hispida)	391
B8XJY4	unreviewed	B8XJY4_SOYBN	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SAD2 100217331 SACPD GLYMA_07G207200	Glycine max (Soybean) (Glycine hispida)	402
B9F058	reviewed	STAD3_ORYSJ	Acyl-[acyl-carrier-protein] desaturase 3, chloroplastic (EC 1.14.19.-)	Os02g0504800 LOC_Os02g30200 OJ1003_F04.32 OsJ_06845	Oryza sativa subsp. japonica (Rice)	402
B9T0X0	unreviewed	B9T0X0_RICCO	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	RCOM_1238330	Ricinus communis (Castor bean)	396
B9WZX4	reviewed	FTME_ASPFM	Fumitremorgin C synthase (EC 1.14.19.71) (Cytochrome P450 monooxygenase ftmP450-2) (Fumitremorgin biosynthesis protein E)	ftmP450-2 ftmE	Aspergillus fumigatus (Neosartorya fumigata)	526
C0LP80	unreviewed	C0LP80_KOSPE	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SAD	Kosteletzkya pentacarpos (Virginia saltmarsh mallow) (Kosteletzkya virginica)	396
C3XZT0	unreviewed	C3XZT0_BRAFL	cholesterol 7-desaturase (EC 1.14.19.21)	BRAFLDRAFT_85607	Branchiostoma floridae (Florida lancelet) (Amphioxus)	455
C3Y374	unreviewed	C3Y374_BRAFL	cholesterol 7-desaturase (EC 1.14.19.21)	BRAFLDRAFT_93439	Branchiostoma floridae (Florida lancelet) (Amphioxus)	452
C4QVU3	reviewed	SLD1_KOMPG	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	PAS_chr1-1_0013	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	542
C4R613	reviewed	DEGS_KOMPG	Sphingolipid delta(4)-desaturase (EC 1.14.19.17) (Delta 4-(E)-sphingolipid desaturase) (Dihydroceramide desaturase)	PAS_chr3_0939	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	360
D4Q8S7	unreviewed	D4Q8S7_PHACH	Acyl-CoA desaturase (EC 1.14.19.1)	Pc-ole1	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	478
D7KNP9	unreviewed	D7KNP9_ARALL	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	ARALYDRAFT_891368	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	391
D7LKH4	unreviewed	D7LKH4_ARALL	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	ARALYDRAFT_903770	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	401
D7T2F1	unreviewed	D7T2F1_VITVI	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	VIT_05s0094g00580	Vitis vinifera (Grape)	362
D8X2C5	reviewed	FAD2_SIGCA	Acyl-CoA Delta-4 desaturase (EC 1.14.19.44) (Delta(4)/Delta(5) fatty acid desaturase) (D4D/D5D fatty acid desaturase) (Delta-4/Delta-5 fatty acid desaturase) (FAD2) (Delta-4 desaturase)	fad2	Siganus canaliculatus (White-spotted spinefoot) (Chaetodon canaliculatus)	445
E0VV50	unreviewed	E0VV50_PEDHC	cholesterol 7-desaturase (EC 1.14.19.21)	8230935 Phum_PHUM458690	Pediculus humanus subsp. corporis (Body louse)	452
E3MEB6	unreviewed	E3MEB6_CAERE	cholesterol 7-desaturase (EC 1.14.19.21)	Cre-daf-36 CRE_22361 FL81_03957	Caenorhabditis remanei (Caenorhabditis vulgaris)	428
E3PZR9	reviewed	STAD3_OPHSP	Palmitoyl-[acyl-carrier-protein] 4-desaturase 3, chloroplastic (EC 1.14.19.11) (Acyl-[acyl-carrier-protein] desaturase 3)	SAD3	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	398
E3PZS0	reviewed	STAD3_OPHAA	Palmitoyl-[acyl-carrier-protein] 4-desaturase 3, chloroplastic (EC 1.14.19.11) (Acyl-[acyl-carrier-protein] desaturase 3)	SAD3	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	398
E3PZS1	reviewed	STAD1_OPHSP	Palmitoyl-[acyl-carrier-protein] 4-desaturase 1, chloroplastic (EC 1.14.19.11) (Acyl-[acyl-carrier-protein] desaturase 1) (Stearoyl-[acyl-carrier-protein] 9-desaturase 1) (Stearoyl-ACP desaturase 1) (EC 1.14.19.2)	SAD1	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	378
E3PZS3	reviewed	STAD2_OPHAA	Palmitoyl-[acyl-carrier-protein] 4-desaturase 2, chloroplastic (EC 1.14.19.11) (Acyl-[acyl-carrier-protein] desaturase 2) (Stearoyl-[acyl-carrier-protein] 9-desaturase 2) (Stearoyl-ACP desaturase 2) (EC 1.14.19.2)	SAD2	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	376
E9FX99	unreviewed	E9FX99_DAPPU	cholesterol 7-desaturase (EC 1.14.19.21)	DAPPUDRAFT_311567	Daphnia pulex (Water flea)	446
E9G262	unreviewed	E9G262_DAPPU	cholesterol 7-desaturase (EC 1.14.19.21)	DAPPUDRAFT_308492	Daphnia pulex (Water flea)	428
E9JSA8	unreviewed	E9JSA8_ARAHY	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SAD1-1 Ahy_A10g049608	Arachis hypogaea (Peanut)	406
E9JSA9	unreviewed	E9JSA9_ARAHY	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SAD1-2	Arachis hypogaea (Peanut)	405
F2QZS1	unreviewed	F2QZS1_KOMPC	Acyl-CoA desaturase (EC 1.14.19.1)	OLE1-2 PP7435_Chr4-0744	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1) (Yeast) (Pichia pastoris)	494
F6GZC7	unreviewed	F6GZC7_VITVI	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	VIT_00s0499g00030	Vitis vinifera (Grape)	393
F6HB13	unreviewed	F6HB13_VITVI	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	VIT_05s0094g00550	Vitis vinifera (Grape)	261
F7J184	reviewed	NVD_XENLA	Cholesterol 7-desaturase nvd (EC 1.14.19.21) (Protein neverland) (Nvd protein) (nvd-Xl)	nvd XELAEV_18041408mg	Xenopus laevis (African clawed frog)	454
F7J188	reviewed	NVD_HEMPU	Cholesterol 7-desaturase nvd (EC 1.14.19.21) (Neverland) (Nvd_Hp)	nvd-Hp	Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	469
G1UAM9	unreviewed	G1UAM9_CANAX	Acyl-CoA desaturase (EC 1.14.19.1)	Ca41C10.02 OLE1 FOB64_005918	Candida albicans (Yeast)	486
G3FLZ7	reviewed	ARMH1_ARMME	Flavin-dependent halogenase armH1 (EC 1.14.19.-)	armH1	Armillaria mellea (Honey mushroom) (Agaricus melleus)	522
G3FLZ8	reviewed	ARMH2_ARMME	Flavin-dependent halogenase armH2 (EC 1.14.19.-)	armH2	Armillaria mellea (Honey mushroom) (Agaricus melleus)	516
G5EC63	reviewed	DEGS2_CAEEL	Putative sphingolipid delta(4)-desaturase/C4-monooxygenase (EC 1.14.18.5) (EC 1.14.19.17) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	ttm-5 Y54E5A.1	Caenorhabditis elegans	362
G7JNN1	unreviewed	G7JNN1_MEDTR	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	11446234 MTR_4g087440 MtrunA17_Chr4g0045661	Medicago truncatula (Barrel medic) (Medicago tribuloides)	393
G8YVP9	unreviewed	G8YVP9_PICSO	Acyl-CoA desaturase (EC 1.14.19.1)	Piso0_000538 GNLVRS01_PISO0A11550g GNLVRS01_PISO0B11617g	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) (Hybrid yeast)	528
H2MGR4	unreviewed	H2MGR4_ORYLA	cholesterol 7-desaturase (EC 1.14.19.21)	LOC105358384	Oryzias latipes (Japanese rice fish) (Japanese killifish)	437
H3AHT2	unreviewed	H3AHT2_LATCH	cholesterol 7-desaturase (EC 1.14.19.21)	LOC102356630	Latimeria chalumnae (Coelacanth)	468
H8ZQ25	unreviewed	H8ZQ25_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ26	unreviewed	H8ZQ26_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ28	unreviewed	H8ZQ28_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ29	unreviewed	H8ZQ29_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	387
H8ZQ30	unreviewed	H8ZQ30_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	388
H8ZQ32	unreviewed	H8ZQ32_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ33	unreviewed	H8ZQ33_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ36	unreviewed	H8ZQ36_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ37	unreviewed	H8ZQ37_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ38	unreviewed	H8ZQ38_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ41	unreviewed	H8ZQ41_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ42	unreviewed	H8ZQ42_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ43	unreviewed	H8ZQ43_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ44	unreviewed	H8ZQ44_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ45	unreviewed	H8ZQ45_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ46	unreviewed	H8ZQ46_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ47	unreviewed	H8ZQ47_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ48	unreviewed	H8ZQ48_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ49	unreviewed	H8ZQ49_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ51	unreviewed	H8ZQ51_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ52	unreviewed	H8ZQ52_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ53	unreviewed	H8ZQ53_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	321
H8ZQ54	unreviewed	H8ZQ54_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	388
H8ZQ56	unreviewed	H8ZQ56_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	388
H8ZQ57	unreviewed	H8ZQ57_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	338
H8ZQ58	unreviewed	H8ZQ58_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	293
H8ZQ59	unreviewed	H8ZQ59_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	329
H8ZQ60	unreviewed	H8ZQ60_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	269
H8ZQ61	unreviewed	H8ZQ61_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys garganica	336
H8ZQ63	unreviewed	H8ZQ63_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	268
H8ZQ64	unreviewed	H8ZQ64_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ65	unreviewed	H8ZQ65_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ66	unreviewed	H8ZQ66_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ67	unreviewed	H8ZQ67_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ68	unreviewed	H8ZQ68_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ69	unreviewed	H8ZQ69_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ70	unreviewed	H8ZQ70_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ71	unreviewed	H8ZQ71_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	336
H8ZQ72	unreviewed	H8ZQ72_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ73	unreviewed	H8ZQ73_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ74	unreviewed	H8ZQ74_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ75	unreviewed	H8ZQ75_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H8ZQ77	unreviewed	H8ZQ77_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad4	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	388
H9NA44	unreviewed	H9NA44_OPHSP	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys sphegodes (Early spider orchid) (Arachnites aranifera)	398
H9NA45	unreviewed	H9NA45_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	398
H9NA46	unreviewed	H9NA46_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	398
H9NA50	unreviewed	H9NA50_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys garganica	398
H9NA51	unreviewed	H9NA51_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	398
H9NA52	unreviewed	H9NA52_OPHAA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys arachnitiformis subsp. archipelagi (Orchid) (Ophrys exaltata subsp. archipelagi)	398
H9NA53	unreviewed	H9NA53_9ASPA	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	sad3	Ophrys garganica	279
