Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A517FND3	reviewed	Cholesterol 16,22-dihydroxylase CYP90G4	78534	Trigonella foenum-graecum	481	PF00067	34..461
A0A5A4DV62	reviewed	Cholesterol 22-hydroxylase CYP90B27	49666	Paris polyphylla	484	PF00067	36..459
A0A5B8YU73	reviewed	Cytochrome P450 monooxygenase GME11363	85828	Pestalotiopsis microspora	573	PF00067	54..446,485..547
A0A6F8RP03	reviewed	Cytochrome P450 monooxygenase grgG	5081	Penicillium sp.	558	PF00067	40..520
A0A6J4BC30	reviewed	Cytochrome P450 monooxygenase LUC2	29916	Fusarium sp.	509	PF00067	79..491
A0A6S6AA17	reviewed	Cytochrome P450 monooxygenase g430	29916	Fusarium sp.	571	PF00067	68..493
A0A6S6QI82	reviewed	Cytochrome P450 monooxygenase ple1	693819	Rhodocybe pseudopiperita	523	PF00067	36..479
A0A6S6QP77	reviewed	Cytochrome P450 monooxygenase ple6	693819	Rhodocybe pseudopiperita	525	PF00067	42..501
A0A6S6QPY4	reviewed	Cytochrome P450 monooxygenase ple5B	693819	Rhodocybe pseudopiperita	523	PF00067	41..478
A0A7L8UVC5	reviewed	Cytochrome P450 monooxygenase ffsD	41900	Aspergillus flavipes	531	PF00067	282..520
A0A8F4SN83	reviewed	Cytochrome P450 monooxygenase atr2	350623	Stereocaulon alpinum	506	PF00067	69..500
A0A8K1AW54	reviewed	Cytochrome P450 monooxygenase tndB	41900	Aspergillus flavipes	485	PF00067	73..484
A0JJT8	reviewed	Cytochrome P450 monooxygenase tenA	176275	Beauveria bassiana	508	PF00067	76..486
A0JJT9	reviewed	Cytochrome P450 monooxygenase tenB	176275	Beauveria bassiana	539	PF00067	161..529
A0R4Q6	reviewed	Steroid C26-monooxygenase	246196	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)	401	PF00067	174..364
A0R4Y3	reviewed	Steroid C26-monooxygenase	246196	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)	427	PF00067	218..377
A1C8C2	reviewed	Cytochrome P450 monooxygenase oblB	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	520	PF00067	66..481
A1CFL5	reviewed	Cytochrome P450 monooxygenase patH	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	524	PF00067	32..475
A1CFL6	reviewed	Cytochrome P450 monooxygenase patI	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	529	PF00067	39..486
A1CLY9	reviewed	Cytochrome P450 monooxygenase ccsD	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	494	PF00067	245..474
A1CLZ3	reviewed	Cytochrome P450 monooxygenase ccsG	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	501	PF00067	140..478
A1DA60	reviewed	Tryprostatin B 6-hydroxylase	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	548	PF00067	110..521
A1DA63	reviewed	Fumitremorgin C synthase	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	526	PF00067	40..476
A1DA65	reviewed	Fumitremorgin C monooxygenase	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	504	PF00067	150..489
A1DN29	reviewed	Sesterfisheric acid synthase	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	547	PF00067	155..521
A1YJE2	reviewed	Nicotine N-demethylase CYP82E3	4098	Nicotiana tomentosiformis	518	PF00067	35..500
A1YJE3	reviewed	Nicotine N-demethylase CYP82E4	4098	Nicotiana tomentosiformis	517	PF00067	35..499
A2A974	reviewed	Cytochrome P450 4A12B	10090	Mus musculus	508	PF00067	52..500
A2QBE8	reviewed	Cytochrome P450 monooxygenase aunB	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	447	PF00067	253..415
A2QK67	reviewed	Bicoumarin synthase ktnC	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	420	PF00067	150..391
A2QLV1	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505E1	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1091	PF00067	36..478
A2QTE8	reviewed	Cytochrome P450 monooxygenase orf2	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	488	PF00067	60..478
A2QTW5	reviewed	Benzoate 4-monooxygenase bphA	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	517	PF00067	39..507
A2R6G9	reviewed	Cytochrome P450 monooxygenase otaC	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	509	PF00067	58..480
A2RRT9	reviewed	Cytochrome P450 4V2	10116	Rattus norvegicus	525	PF00067	51..509
A2WLP4	reviewed	Cytochrome P450 90D2	39946	Oryza sativa subsp. indica	490	PF00067	50..466
A2Z212	reviewed	Abscisic acid 8'-hydroxylase 3	39946	Oryza sativa subsp. indica	500	PF00067	45..456
A2ZHX7	reviewed	Cytochrome P450 90A4	39946	Oryza sativa subsp. indica	501	PF00067	43..475
A3A871	reviewed	Ent-isokaurene C2/C3-hydroxylase	39947	Oryza sativa subsp. japonica	515	PF00067	34..495
A4D9R2	reviewed	Cytochrome P450 monooxygenase pyr3	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	518	PF00067	153..495
A4D9R3	reviewed	Cytochrome P450 monooxygenase pyr9	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	502	PF00067	218..473
A4F7P2	reviewed	Cytochrome P450 family protein EryCII	405948	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	361	PF00067	236..303
A5ABG2	reviewed	Cytochrome P450 monooxygenase pynD	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	482	PF00067	30..452
A5BFI4	reviewed	Beta-amyrin 28-monooxygenase	29760	Vitis vinifera	480	PF00067	37..452
A6YIH8	reviewed	Premnaspirodiene oxygenase	35626	Hyoscyamus muticus	502	PF00067	33..481
A7VMU4	reviewed	Cytochrome P450 monooxygenase AMT3	5599	Alternaria alternata	489	PF00067	34..472
A8C7R4	reviewed	Inactive cytochrome P450 monooxygenase cloA	40602	Claviceps fusiformis	511	PF00067	84..476
A8CDR5	reviewed	Corytuberine synthase	3442	Coptis japonica	486	PF00067	29..468
A8NCK4	reviewed	Cytochrome P450 monooxygenase COX1	240176	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)	518	PF00067	37..487
A8NCK6	reviewed	Cytochrome P450 monooxygenase COX2	240176	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)	526	PF00067	41..500
A8WGA0	reviewed	Cytochrome P450 27C1	7955	Danio rerio	540	PF00067	74..528
A9JPE0	reviewed	Cytochrome P450 monooxygenase AtmP	5059	Aspergillus flavus	519	PF00067	181..492
A9JPE2	reviewed	Cytochrome P450 monooxygenase atmQ	5059	Aspergillus flavus	529	PF00067	80..516
A9QNE7	reviewed	Abscisic acid 8'-hydroxylase CYP707A1	4081	Solanum lycopersicum	476	PF00067	41..448
B0Y566	reviewed	Cytochrome P450 monooxygenase afumB	451804	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	508	PF00067	43..493
B0Y6R2	reviewed	Psi-producing oxygenase A	451804	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	1079	PF00067	933..1021
B1GVX2	reviewed	Cytochrome P450 monooxygenase BOA4	332648	Botryotinia fuckeliana (strain B05.10)	495	PF00067	137..487
B1GVX3	reviewed	Cytochrome P450 monooxygenase BOA3	332648	Botryotinia fuckeliana (strain B05.10)	506	PF00067	66..480
B1NF18	reviewed	Salutaridine synthase	3469	Papaver somniferum	505	PF00067	44..483
B1NF19	reviewed	Trifunctional (S)-stylopine synthase/(S)-nandinine synthase/(S)-canadine synthase	54796	Argemone mexicana	504	PF00067	49..492
B1NF20	reviewed	Cheilanthifoline synthase	54796	Argemone mexicana	494	PF00067	37..484
B2RML6	reviewed	Cytochrome P450 monooxygenase BOT4	40559	Botryotinia fuckeliana	526	PF00067	83..494
B2RXA7	reviewed	Cytochrome P450 26C1	10090	Mus musculus	518	PF00067	50..480
B3FWR7	reviewed	Cytochrome P450 monooxygenase hmp1	193393	Hypomyces subiculosus	502	PF00067	58..475
B3FWT9	reviewed	Cytochrome P450 monooxygenase rdc4	280754	Metacordyceps chlamydosporia	492	PF00067	52..471
B3LF83	reviewed	Probable inactive linolenate hydroperoxide lyase	3702	Arabidopsis thaliana	384	PF00067	219..323
B3RFJ6	reviewed	Cytochrome P450 86A22	4102	Petunia hybrida	553	PF00067	30..498
B4FVP3	reviewed	Zealexin A1 synthase	4577	Zea mays	505	PF00067	33..487
B4XY99	reviewed	5-methyl-1-naphthoate 3-hydroxylase	285525	Streptomyces sahachiroi	401	PF00067	179..362
B5BSX1	reviewed	Beta-amyrin 11-oxidase	74613	Glycyrrhiza uralensis	493	PF00067	44..466
B5UAQ8	reviewed	Cheilanthifoline synthase	3467	Eschscholzia californica	490	PF00067	34..477
B6H066	reviewed	Cytochrome P450 monooxygenase prx8	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	540	PF00067	200..515
B6H067	reviewed	Cytochrome P450 monooxygenase prx9	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	579	PF00067	90..542
B6HFX9	reviewed	Conidiogenone synthase PchP450	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	491	PF00067	52..476
B6HJU3	reviewed	Cytochrome P450 monooxygenase roqO	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	503	PF00067	149..489
B6HJU5	reviewed	Cytochrome P450 monooxygenase roqR	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	511	PF00067	96..482
B6HUQ4	reviewed	Cytochrome P450 monooxygenase adrA	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	512	PF00067	140..484
B6SSW8	reviewed	Cytochrome P450 714B3	4577	Zea mays	527	PF00067	97..507
B8AJL3	reviewed	Steroid (22S)-hydroxylase	39946	Oryza sativa subsp. indica	506	PF00067	55..477
B8AV52	reviewed	Cytochrome P450 724B1	39946	Oryza sativa subsp. indica	480	PF00067	36..460
B8BJ22	reviewed	Cytochrome P450 90A3	39946	Oryza sativa subsp. indica	501	PF00067	43..475
B8M9J6	reviewed	Cytochrome P450 monooxygenase tropD	441959	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	514	PF00067	47..490
B8MV61	reviewed	Cytochrome P450 monooxygenase tpeC	441959	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	507	PF00067	64..496
B8N0E9	reviewed	Cytochrome P450 monooxygenase asaD	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	513	PF00067	94..493
B8N2C8	reviewed	Sterol 14-alpha demethylase	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	513	PF00067	44..502
B8N8R3	reviewed	Cytochrome P450 monooxygenase afvE	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	471	PF00067	126..441
B8NFL5	reviewed	Sterol 14-alpha demethylase	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	491	PF00067	164..471
B8NHD8	reviewed	Cytochrome P450 monooxygenase flvC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	538	PF00067	156..505
B8NHD9	reviewed	Cytochrome P450 monooxygenase flvD	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	511	PF00067	65..480
B8NHY4	reviewed	O-methylsterigmatocystin oxidoreductase	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	528	PF00067	32..485
B8NJG8	reviewed	Cytochrome P450 monooxygenase lepD	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	508	PF00067	89..481
B8NJH2	reviewed	Cytochrome P450 monooxygenase lepH	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	507	PF00067	127..483
B8NM64	reviewed	Cytochrome P450 monooxygenase ustC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	403	PF00067	170..329
B8NR71	reviewed	Cytochrome P450 monooxygenase dtpC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	181	PF00067	1..154
B8NU01	reviewed	Cytochrome P450 monooxygenase lnaC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	524	PF00067	153..501
B8NU02	reviewed	Cytochrome P450 monooxygenase lnaD	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	511	PF00067	170..491
B8NUK6	reviewed	Sterol 14-alpha demethylase	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	513	PF00067	39..498
B8NWW3	reviewed	Cytochrome P450 monooxygenase lnbC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	503	PF00067	63..483
B8NYW9	reviewed	Cytochrome P450 monooxygenase AFLA_114810	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	510	PF00067	37..477
B8QHP1	reviewed	Cytochrome P450 52-M1	75736	Starmerella bombicola	538	PF00067	101..508
B8QHP3	reviewed	Cytochrome P450 52-E3	75736	Starmerella bombicola	519	PF00067	101..483
B8QHP5	reviewed	Cytochrome P450 52-N1	75736	Starmerella bombicola	523	PF00067	60..506
B9DFU2	reviewed	Cytochrome P450 711A1	3702	Arabidopsis thaliana	522	PF00067	47..492
B9G934	reviewed	Cytochrome P450 714C3	39947	Oryza sativa subsp. japonica	511	PF00067	86..488
B9GBJ9	reviewed	Cytochrome P450 714C1	39947	Oryza sativa subsp. japonica	503	PF00067	83..480
B9WZX1	reviewed	Tryprostatin B 6-hydroxylase	746128	Aspergillus fumigatus	559	PF00067	121..532
B9WZX4	reviewed	Fumitremorgin C synthase	746128	Aspergillus fumigatus	526	PF00067	40..479
B9WZX6	reviewed	Fumitremorgin C monooxygenase	746128	Aspergillus fumigatus	504	PF00067	148..489
B9X287	reviewed	Cytochrome P450 734A6	39947	Oryza sativa subsp. japonica	542	PF00067	84..499
C0SJS2	reviewed	Psoralen synthase	4041	Pastinaca sativa	473	PF00067	26..469
C0SJS3	reviewed	Angelicin synthase	4041	Pastinaca sativa	478	PF00067	26..468
C0SJS4	reviewed	Psoralen synthase	4045	Apium graveolens	476	PF00067	27..471
C0SPF7	reviewed	Farnesoate epoxidase	7091	Bombyx mori	493	PF00067	26..483
C4B644	reviewed	Vitamin D(3) 25-hydroxylase	2074	Pseudonocardia autotrophica	403	PF00067	180..364
C5H886	reviewed	Cytochrome P450 monooxygenase radP	2587399	Floropilus chiversii	501	PF00067	61..486
C7J3A2	reviewed	Ent-kaurene oxidase-like protein 1	39947	Oryza sativa subsp. japonica	299	PF00067	52..289
C8V0D4	reviewed	Cytochrome P450 monooxygenase cicH	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	497	PF00067	43..482
C8V7P3	reviewed	N-acetyltryptophan 6-hydroxylase ivoC	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	512	PF00067	61..492
C8VI81	reviewed	Cytochrome P450 monooxygenase pkfB	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	508	PF00067	55..479
C8VJR0	reviewed	Cytochrome P450 monooxygenase alnH	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	546	PF00067	44..480
C8VN91	reviewed	Cytochrome P450 monooxygenase AN1598	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	534	PF00067	86..500
C9K1X6	reviewed	Cyclooctat-9-en-7-ol 5-monooxygenase	67327	Streptomyces melanosporofaciens	459	PF00067	29..444
C9K1X7	reviewed	Cyclooctatin synthase	67327	Streptomyces melanosporofaciens	459	PF00067	25..445
C9K202	reviewed	Cytochrome P450 monooxygenase cpaH	5062	Aspergillus oryzae	509	PF00067	66..503
D1MI46	reviewed	Geraniol 8-hydroxylase	137888	Swertia mussotii	495	PF00067	33..480
D1MX85	reviewed	Fusicoccadiene C-8 hydroxylase	29001	Alternaria brassicicola	527	PF00067	73..499
D1MX86	reviewed	Cytochrome P450 monooxygenase bsc2	29001	Alternaria brassicicola	525	PF00067	155..494
D1MX87	reviewed	Cytochrome P450 monooxygenase bsc5	29001	Alternaria brassicicola	523	PF00067	157..497
D1MX88	reviewed	Fusicoccadiene 8-ol C-16 hydroxylase	29001	Alternaria brassicicola	495	PF00067	89..484
D1MX89	reviewed	Cytochrome P450 monooxygenase bsc11	29001	Alternaria brassicicola	517	PF00067	130..480
D2CGS0	reviewed	5-OH-xanthotoxin synthase	48026	Ammi majus	509	PF00067	35..499
D4AY62	reviewed	Cytochrome P450 ARB_01131	663331	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371)	499	PF00067	96..466
D5E3H2	reviewed	Cytochrome P450 CYP107DY1	545693	Priestia megaterium (strain ATCC 12872 / QMB1551)	410	PF00067	96..381
D5J9U8	reviewed	Germacrene A hydroxylase	4236	Lactuca sativa	488	PF00067	35..473
D5JBW8	reviewed	Germacrene A hydroxylase	13427	Cichorium intybus	488	PF00067	35..473
D5JBW9	reviewed	Germacrene A hydroxylase	324593	Saussurea costus	488	PF00067	34..476
D5JBX0	reviewed	Germacrene A hydroxylase	4232	Helianthus annuus	488	PF00067	34..470
D5JBX1	reviewed	Germacrene A hydroxylase	171760	Barnadesia spinosa	496	PF00067	37..467
D7PHY9	reviewed	Cytochrome P450 monooxygenase vrtK	36650	Penicillium aethiopicum	534	PF00067	64..495
D7PHZ6	reviewed	Cytochrome P450 monooxygenase vrtE	36650	Penicillium aethiopicum	520	PF00067	91..476
D7PI20	reviewed	Cytochrome P450 monooxygenase gsfF	36650	Penicillium aethiopicum	504	PF00067	46..498
D7UQ39	reviewed	Cytochrome P450 monooxygenase sol6	48100	Alternaria solani	461	PF00067	59..447
D8LQS7	reviewed	Hydroperoxide bicyclase CYP5164A3, mitochondrial	2880	Ectocarpus siliculosus	510	PF00067	315..437
E1ACQ2	reviewed	Cytochrome P450 monooxygenase notG	877550	Aspergillus sp. (strain MF297-2)	543	PF00067	98..523
E1ACQ3	reviewed	Cytochrome P450 monooxygenase notH	877550	Aspergillus sp. (strain MF297-2)	501	PF00067	151..481
E1B2Z9	reviewed	Cytochrome P450 71AV8	13427	Cichorium intybus	496	PF00067	34..475
E1BHJ4	reviewed	Cytochrome P450 26B1	9913	Bos taurus	512	PF00067	73..466
E3VWI3	reviewed	Pentalenolactone synthase	29301	Streptomyces arenae	398	PF00067	266..367
E3VWJ9	reviewed	Pentalenolactone synthase	1905	Streptomyces exfoliatus	398	PF00067	182..367
E3W9C4	reviewed	Alpha-humulene 10-hydroxylase	311405	Zingiber zerumbet	513	PF00067	44..490
E5A7D6	reviewed	Cytochrome P450 monooxygenase abl5	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	551	PF00067	88..540
E5A7D8	reviewed	Cytochrome P450 monooxygenase abl2	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	555	PF00067	155..522
E5A7E1	reviewed	Cytochrome P450 monooxygenase abl1	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	569	PF00067	63..493
E5AE41	reviewed	Phomenoic acid biosynthesis cluster cytochrome P450 monooxygenase	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	588	PF00067	115..552
E9FCP5	reviewed	Cytochrome P450 monooxygenase dtxS2	655844	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075)	516	PF00067	63..495
E9KBR8	reviewed	Cytochrome P450 93B16	3847	Glycine max	527	PF00067	37..495
E9KMQ3	reviewed	Grayanic acid biosynthesis cluster cytochrome P450 monooxygenase	27339	Cladonia grayi	570	PF00067	68..391,458..543
E9Q5K4	reviewed	Cytochrome P450 2C44	10090	Mus musculus	494	PF00067	34..489
E9Q816	reviewed	Cytochrome P450 2W1	10090	Mus musculus	493	PF00067	35..488
E9QY26	reviewed	Sterol 14-alpha demethylase cyp51B	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	524	PF00067	56..500
E9RCR4	reviewed	Cytochrome P450 monooxygenase gliC	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	512	PF00067	72..496
E9RHV4	reviewed	Cytochrome P450 monooxygenase cyp1	5270	Ustilago maydis	435	PF00067	12..416
F1B282	reviewed	Trans-cinnamate 4-monooxygenase C4H1	4102	Petunia hybrida	506	PF00067	34..496
F1B283	reviewed	Trans-cinnamate 4-monooxygenase C4H2	4102	Petunia hybrida	505	PF00067	34..496
F1Q8C3	reviewed	Cytochrome P450 2K6	7955	Danio rerio	505	PF00067	43..500
F1RE08	reviewed	Prostacyclin synthase	7955	Danio rerio	480	PF00067	33..466
F1SY49	reviewed	Cytochrome P450 monooxygenase 41	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	568	PF00067	73..559
F1SY52	reviewed	Cytochrome P450 monooxygenase 45	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	529	PF00067	50..479
F1SY62	reviewed	Cytochrome P450 monooxygenase 58	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	526	PF00067	46..488
F1SY66	reviewed	Cytochrome P450 monooxygenase 64	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	495	PF00067	33..476
F1SY68	reviewed	Cytochrome P450 monooxygenase 67	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	515	PF00067	38..500
F1SY70	reviewed	Cytochrome P450 monooxygenase 69	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	567	PF00067	33..500
F1SY71	reviewed	Cytochrome P450 monooxygenase 71	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	498	PF00067	34..472
F1SY73	reviewed	Cytochrome P450 monooxygenase 74	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	508	PF00067	43..485
F1SY74	reviewed	Cytochrome P450 monooxygenase 75	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	613	PF00067	92..561
F1SY75	reviewed	Cytochrome P450 monooxygenase 79	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	567	PF00067	33..500
F1SY77	reviewed	Cytochrome P450 monooxygenase 81	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	547	PF00067	36..510
F1SY82	reviewed	Cytochrome P450 monooxygenase 88	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	495	PF00067	33..475
F1SY83	reviewed	Cytochrome P450 monooxygenase 89	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	568	PF00067	73..559
F1SY85	reviewed	Cytochrome P450 monooxygenase 91	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	542	PF00067	34..511
F1SY91	reviewed	Cytochrome P450 monooxygenase 98	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	520	PF00067	37..464
F1SY95	reviewed	Cytochrome P450 monooxygenase 103	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	500	PF00067	31..484
F1SY96	reviewed	Cytochrome P450 monooxygenase 105	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	521	PF00067	45..474
F1SY99	reviewed	Cytochrome P450 monooxygenase 110	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	498	PF00067	34..472
F1SYA2	reviewed	Cytochrome P450 monooxygenase 113	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	495	PF00067	33..457
F1SYB2	reviewed	Cytochrome P450 monooxygenase 124	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	517	PF00067	86..481
F1SYB6	reviewed	Cytochrome P450 monooxygenase 128	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	547	PF00067	41..524
F1SYC2	reviewed	Cytochrome P450 monooxygenase 136	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	529	PF00067	38..500
F1SYD1	reviewed	Cytochrome P450 monooxygenase 151	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	497	PF00067	130..490
F1SYE5	reviewed	Cytochrome P450 monooxygenase 169	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	543	PF00067	40..515
F1SYF1	reviewed	Cytochrome P450 monooxygenase 176	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	520	PF00067	36..466
F1SYG6	reviewed	Cytochrome P450 monooxygenase 197	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	545	PF00067	41..506
F1SYH0	reviewed	Cytochrome P450 monooxygenase 205	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	543	PF00067	40..519
F1SYH1	reviewed	Cytochrome P450 monooxygenase 208	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	512	PF00067	35..463
F1SYH4	reviewed	Cytochrome P450 monooxygenase 212	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	545	PF00067	36..514
F1SYH7	reviewed	Cytochrome P450 monooxygenase 215	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	547	PF00067	41..524
F1SYI1	reviewed	Cytochrome P450 monooxygenase 219	561896	Postia placenta (strain ATCC 44394 / Madison 698-R)	546	PF00067	37..514
