Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
147	TR	A0A067LDH0	Uncharacterized protein OS=Jatropha curcas OX=180498 GN=JCGZ_12935 PE=3 SV=1	Jatropha curcas	500	678	33.2	53.0	1.1e-79
148	TR	A0A978UN86	Terpene synthase 10-like OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj10G0119400 PE=4 SV=1	Ziziphus jujuba var. spinosa	465	675	37.5	56.7	1.2e-79
149	TR	A0A3S3MXR3	Terpene synthase 1 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01723000 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	353	665	43.5	60.4	1.5e-79
150	TR	A0A8X8DL43	Terpene synthase metal-binding domain-containing protein OS=Populus tomentosa OX=118781 GN=POTOM_003161 PE=4 SV=1	Populus tomentosa	320	662	45.7	65.5	1.5e-79
151	TR	A0A8X8DEX5	Terpene synthase metal-binding domain-containing protein OS=Populus tomentosa OX=118781 GN=POTOM_006710 PE=4 SV=1	Populus tomentosa	320	662	45.7	65.5	1.5e-79
152	TR	B9IF04	Terpene synthase OS=Populus trichocarpa OX=3694 GN=POPTR_015G085500 PE=4 SV=1	Populus trichocarpa	553	679	34.1	50.5	3.1e-79
153	TR	A0A6A6LAS9	Uncharacterized protein OS=Hevea brasiliensis OX=3981 GN=GH714_023039 PE=3 SV=1	Hevea brasiliensis	766	691	36.2	54.7	5.7e-79
154	TR	A0A2H5PLS5	Uncharacterized protein OS=Citrus unshiu OX=55188 GN=CUMW_148370 PE=4 SV=1	Citrus unshiu	570	678	32.9	49.8	6.7e-79
155	TR	A0A8X8DL06	Terpene synthase metal-binding domain-containing protein OS=Populus tomentosa OX=118781 GN=POTOM_003160 PE=4 SV=1	Populus tomentosa	320	657	45.3	65.1	8.2e-79
156	TR	A0A1R3IM33	(+)-delta-cadinene synthase OS=Corchorus olitorius OX=93759 GN=COLO4_22401 PE=4 SV=1	Corchorus olitorius	509	672	34.1	56.5	1.1e-78
157	TR	A0A8J4QMH4	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_019820 PE=4 SV=1	Castanea mollissima	450	667	38.3	58.2	1.2e-78
158	TR	A0A1S3TCC1	(-)-germacrene D synthase-like isoform X2 OS=Vigna radiata var. radiata OX=3916 GN=LOC106753988 PE=4 SV=1	Vigna radiata var. radiata	517	671	33.6	53.2	1.9e-78
159	TR	A0A8J5H7C0	Sesquiterpene synthase OS=Zingiber officinale OX=94328 GN=ZIOFF_023987 PE=4 SV=1	Zingiber officinale	405	662	38.4	56.9	1.9e-78
160	TR	A0A0Q3I6C3	Terpene synthase OS=Brachypodium distachyon OX=15368 GN=100827547 PE=4 SV=1	Brachypodium distachyon	450	665	35.5	54.4	2.5e-78
161	TR	A0A0D2TQ69	(+)-delta-cadinene synthase OS=Gossypium raimondii OX=29730 GN=B456_007G316300 PE=4 SV=1	Gossypium raimondii	493	668	34.5	54.1	2.8e-78
162	TR	A0A0Q3NYU9	Terpene synthase OS=Brachypodium distachyon OX=15368 GN=100827547 PE=4 SV=1	Brachypodium distachyon	456	665	35.5	54.4	2.9e-78
163	TR	A0A2G9G6T4	Gamma-curcumene synthase OS=Handroanthus impetiginosus OX=429701 GN=CDL12_26857 PE=4 SV=1	Handroanthus impetiginosus	471	665	33.0	56.3	4.4e-78
164	TR	A0A7N2LBK1	Uncharacterized protein OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	367	655	39.0	56.7	6.9e-78
165	TR	A0A8J5ZR70	(+)-delta-cadinene synthase OS=Gossypium anomalum OX=47600 GN=CXB51_001137 PE=4 SV=1	Gossypium anomalum	545	667	33.6	50.3	1.5e-77
166	TR	A0A8K0GTV5	Uncharacterized protein OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR20915 PE=4 SV=1	Rhamnella rubrinervis	449	653	34.8	51.6	1.4e-76
167	TR	A0A3Q0ES06	Sesquiterpene synthase-like isoform X3 OS=Vigna radiata var. radiata OX=3916 GN=LOC106755584 PE=4 SV=1	Vigna radiata var. radiata	517	658	33.7	53.5	1.6e-76
168	TR	A0A8X7YAB7	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_049499 PE=4 SV=1	Populus tomentosa	526	658	41.5	57.0	2e-76
169	TR	U5GWF3	Terpene synthase OS=Populus trichocarpa OX=3694 GN=POPTR_001G415100 PE=4 SV=1	Populus trichocarpa	500	656	33.5	50.0	2e-76
170	TR	A0A8J5L3V5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039450 PE=4 SV=1	Zingiber officinale	337	640	40.7	61.4	4.8e-76
171	TR	A0A5D3AE27	(+)-delta-cadinene synthase OS=Gossypium mustelinum OX=34275 GN=E1A91_A01G075500v1 PE=4 SV=1	Gossypium mustelinum	545	656	33.0	49.8	6.3e-76
172	TR	A0A0B0MPP6	(+)-delta-cadinene synthase OS=Gossypium arboreum OX=29729 GN=F383_29051 PE=4 SV=1	Gossypium arboreum	545	656	33.0	49.8	6.3e-76
173	TR	A0A8J4QIZ7	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_027049 PE=4 SV=1	Castanea mollissima	554	654	32.3	49.4	1.5e-75
174	TR	A0A8J4R2Y7	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_011970 PE=4 SV=1	Castanea mollissima	495	649	32.2	56.0	1.9e-75
175	TR	A0A4S4E6S9	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_012657 PE=4 SV=1	Camellia sinensis var. sinensis	569	651	33.3	48.3	6.1e-75
176	TR	A0A067H7V0	Uncharacterized protein OS=Citrus sinensis OX=2711 GN=CISIN_1g035568mg PE=4 SV=1	Citrus sinensis	518	647	34.8	50.5	6.8e-75
177	TR	A0A7J9LNI9	(+)-delta-cadinene synthase (Fragment) OS=Gossypium schwendimanii OX=34291 GN=Goshw_015659 PE=4 SV=1	Gossypium schwendimanii	359	634	39.9	57.5	7.2e-75
178	TR	A0A1U8KGL3	(+)-delta-cadinene synthase OS=Gossypium hirsutum OX=3635 GN=LOC107916720 PE=4 SV=1	Gossypium hirsutum	545	648	33.1	49.6	9.4e-75
179	TR	A0A8J5GRL8	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_024002 PE=4 SV=1	Zingiber officinale	344	628	38.6	57.9	3.6e-74
180	TR	A0A7J0G251	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_17g0004110 PE=4 SV=1	Actinidia rufa	494	638	34.0	50.9	7.8e-74
181	TR	A0A4V3WKH8	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_026266 PE=4 SV=1	Camellia sinensis var. sinensis	537	641	33.0	47.1	8.3e-74
182	TR	A0A8X7YTS8	Terpene synthase OS=Populus tomentosa OX=118781 GN=POTOM_040081 PE=4 SV=1	Populus tomentosa	437	633	44.0	66.2	9.5e-74
183	TR	A0A978VS89	Terpene synthase 10-like OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj03G0196900 PE=4 SV=1	Ziziphus jujuba var. spinosa	531	640	32.4	54.0	1e-73
184	TR	A0A6P6FWX2	LOW QUALITY PROTEIN: (-)-germacrene D synthase-like OS=Ziziphus jujuba OX=326968 GN=LOC107431448 PE=4 SV=1	Ziziphus jujuba	466	635	35.2	55.6	1e-73
185	TR	A0A8X8Z8G4	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_145904 PE=4 SV=1	Salvia splendens	386	627	36.5	57.9	1.7e-73
186	TR	A0A0E0LRP2	Sesquiterpene synthase OS=Oryza punctata OX=4537 PE=4 SV=1	Oryza punctata	472	633	33.6	55.3	2.4e-73
187	TR	A0A7J0G6X8	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_18g0007200 PE=4 SV=1	Actinidia rufa	510	635	33.7	49.6	3.2e-73
188	TR	A0A8B8NRV0	(-)-germacrene D synthase-like isoform X2 OS=Rhodamnia argentea OX=178133 GN=LOC115737309 PE=4 SV=1	Rhodamnia argentea	373	623	37.4	56.2	4.7e-73
189	TR	M1BIR2	Cembratrienol synthase 2a OS=Solanum tuberosum OX=4113 PE=4 SV=1	Solanum tuberosum	368	620	39.6	57.7	1.1e-72
190	TR	A0A7J7HNF8	Valerianol synthase OS=Camellia sinensis OX=4442 GN=HYC85_007125 PE=4 SV=1	Camellia sinensis	567	635	33.1	50.1	1.3e-72
191	TR	A0A8T0CMR8	Uncharacterized protein OS=Corymbia citriodora subsp. variegata OX=360336 GN=BT93_L3090 PE=4 SV=1	Corymbia citriodora subsp. variegata	525	632	32.9	52.3	1.3e-72
192	TR	A0A6A3AJN0	(+)-delta-cadinene synthase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110458pilonHSYRG00409 PE=4 SV=1	Hibiscus syriacus	466	627	33.2	50.2	1.6e-72
193	TR	A0A2G9H6B2	Gamma-curcumene synthase OS=Handroanthus impetiginosus OX=429701 GN=CDL12_14319 PE=4 SV=1	Handroanthus impetiginosus	471	627	31.6	55.7	1.8e-72
194	TR	A0A5D2XDR0	Terpene synthase N-terminal domain-containing protein OS=Gossypium mustelinum OX=34275 GN=E1A91_A11G307500v1 PE=4 SV=1	Gossypium mustelinum	466	626	34.1	48.3	2.2e-72
195	TR	A0A067DRL0	Terpene synthase metal-binding domain-containing protein (Fragment) OS=Citrus sinensis OX=2711 GN=CISIN_1g0152451mg PE=4 SV=1	Citrus sinensis	272	608	49.6	66.4	3.7e-72
196	TR	A0A8X8X2Y4	(-)-germacrene D synthase OS=Salvia splendens OX=180675 GN=SASPL_132401 PE=4 SV=1	Salvia splendens	492	626	35.2	55.3	4.4e-72
197	TR	A0A8J5GVL0	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_023990 PE=4 SV=1	Zingiber officinale	338	613	38.9	58.1	5.1e-72
198	TR	A0A6P6X9E4	(-)-germacrene D synthase-like OS=Coffea arabica OX=13443 GN=LOC113741074 PE=4 SV=1	Coffea arabica	566	630	32.6	49.8	6.8e-72
199	TR	A0A0D3ENC3	Terpene synthase N-terminal domain-containing protein OS=Oryza barthii OX=65489 PE=4 SV=1	Oryza barthii	474	622	33.8	52.1	1.1e-71
200	TR	A0A8K0HPI9	Sesquiterpene synthase OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR00637 PE=4 SV=1	Rhamnella rubrinervis	415	617	36.5	53.4	1.2e-71
201	TR	A0A7J0G237	Terpene synthase-like sequence-1,8-cineole OS=Actinidia rufa OX=165716 GN=Acr_17g0004130 PE=4 SV=1	Actinidia rufa	465	618	35.9	51.6	3.3e-71
202	TR	A0A0D9W3K1	Terpene synthase N-terminal domain-containing protein OS=Leersia perrieri OX=77586 PE=4 SV=1	Leersia perrieri	438	615	33.2	54.4	4.5e-71
203	TR	A0A811S1J6	Uncharacterized protein OS=Miscanthus lutarioriparius OX=422564 GN=NCGR_LOCUS59042 PE=4 SV=1	Miscanthus lutarioriparius	540	622	33.5	54.7	5.5e-71
204	TR	F6HN22	Terpene synthase metal-binding domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_18s0001g05360 PE=4 SV=1	Vitis vinifera	368	608	39.4	56.9	6.8e-71
205	TR	A0A834Y3Y6	Terpene synthase metal-binding domain-containing protein OS=Tetracentron sinense OX=13715 GN=HHK36_033303 PE=4 SV=1	Tetracentron sinense	409	609	38.9	57.1	1.6e-70
206	TR	A0A059BVE9	Terpene synthase N-terminal domain-containing protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_F03396 PE=4 SV=1	Eucalyptus grandis	502	614	33.9	49.8	3.3e-70
207	TR	A0A8X9A9X1	Uncharacterized protein OS=Salvia splendens OX=180675 GN=SASPL_103662 PE=4 SV=1	Salvia splendens	477	610	32.6	54.3	6.8e-70
208	TR	A0A834X217	Myrcene synthase, chloroplastic-like isoform X2 OS=Senna tora OX=362788 GN=G2W53_011368 PE=4 SV=1	Senna tora	441	607	34.1	56.1	7.3e-70
209	TR	A0A834WZZ1	Myrcene synthase, chloroplastic-like isoform X2 OS=Senna tora OX=362788 GN=G2W53_010562 PE=4 SV=1	Senna tora	441	607	34.1	56.1	7.3e-70
210	TR	A0A8X9A0K7	Uncharacterized protein OS=Salvia splendens OX=180675 GN=SASPL_113781 PE=4 SV=1	Salvia splendens	395	603	37.9	59.3	8.1e-70
211	TR	A0A443Q4A3	Terpene synthase 1 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_02726600 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	556	615	50.9	70.2	8.4e-70
212	TR	A0A7J6ER71	Terpene synthase OS=Cannabis sativa OX=3483 GN=G4B88_000554 PE=4 SV=1	Cannabis sativa	1175	640	33.3	52.1	9.3e-70
213	TR	A0A443PRV2	Terpene synthase 1 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_02276900 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	553	614	50.6	69.7	1.1e-69
214	TR	A0A5J4ZY50	Valerianol synthase OS=Nyssa sinensis OX=561372 GN=F0562_010178 PE=4 SV=1	Nyssa sinensis	500	610	33.5	52.1	1.2e-69
215	TR	A0A3N7F7Y3	Terpene synthase OS=Populus trichocarpa OX=3694 GN=POPTR_007G119700 PE=4 SV=1	Populus trichocarpa	504	610	32.0	52.2	1.3e-69
216	TR	A0A834TL44	(-)-germacrene D synthase-like OS=Senna tora OX=362788 GN=G2W53_020979 PE=4 SV=1	Senna tora	506	609	33.0	50.1	2e-69
217	TR	A0A8T0CUU0	Uncharacterized protein OS=Corymbia citriodora subsp. variegata OX=360336 GN=BT93_L0113 PE=4 SV=1	Corymbia citriodora subsp. variegata	558	608	32.3	53.5	9.3e-69
218	TR	A0A8J4QDF5	Sesquiterpene synthase OS=Castanea mollissima OX=60419 GN=CMV_024945 PE=4 SV=1	Castanea mollissima	514	601	31.2	46.9	3.5e-68
219	TR	A0A8T0CV72	Uncharacterized protein OS=Corymbia citriodora subsp. variegata OX=360336 GN=BT93_L3816 PE=4 SV=1	Corymbia citriodora subsp. variegata	524	601	32.5	53.3	4.5e-68
220	TR	A0A067KB09	Terpene synthase N-terminal domain-containing protein OS=Jatropha curcas OX=180498 GN=JCGZ_14941 PE=3 SV=1	Jatropha curcas	400	591	33.7	54.5	5.6e-68
221	TR	A0A3L6PPC4	Putative (+)-delta-cadinene synthase OS=Panicum miliaceum OX=4540 GN=C2845_PM14G03760 PE=4 SV=1	Panicum miliaceum	474	595	33.2	53.4	1e-67
222	TR	M1BET9	Cembratrienol synthase 2b OS=Solanum tuberosum OX=4113 PE=4 SV=1	Solanum tuberosum	326	583	40.5	60.7	1e-67
223	TR	A0A7J0D7X0	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_00g0006000 PE=4 SV=1	Actinidia rufa	367	586	49.4	64.9	1.2e-67
224	TR	A0A7J8XKQ4	(+)-delta-cadinene synthase (Fragment) OS=Gossypium aridum OX=34290 GN=Goari_015044 PE=4 SV=1	Gossypium aridum	339	583	38.5	55.0	1.5e-67
225	TR	A0A0E0JI01	Terpene synthase N-terminal domain-containing protein OS=Oryza punctata OX=4537 PE=4 SV=1	Oryza punctata	454	592	33.0	51.2	1.7e-67
226	TR	A0A8X8CIT8	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_041308 PE=4 SV=1	Populus tomentosa	598	601	45.3	66.3	2.3e-67
227	TR	A0A6A6M9V7	(+)-delta-cadinene synthase OS=Hevea brasiliensis OX=3981 GN=GH714_001589 PE=3 SV=1	Hevea brasiliensis	499	593	33.5	53.2	3.7e-67
228	TR	A0A5D2T012	(+)-delta-cadinene synthase OS=Gossypium mustelinum OX=34275 GN=E1A91_D11G327800v1 PE=4 SV=1	Gossypium mustelinum	505	593	33.6	51.8	4.2e-67
229	TR	A0A8T1NRZ4	Uncharacterized protein OS=Carya illinoinensis OX=32201 GN=CIPAW_12G115200 PE=4 SV=1	Carya illinoinensis	555	595	31.8	49.3	6.9e-67
230	TR	A0A6P6X4C2	(-)-germacrene D synthase-like OS=Coffea arabica OX=13443 GN=LOC113739289 PE=4 SV=1	Coffea arabica	551	594	32.8	50.5	8.8e-67
231	TR	A0A443PS16	Terpene synthase 1 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_02276800 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	562	594	50.0	68.4	1.1e-66
232	TR	A0A6A2XR90	(+)-delta-cadinene synthase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00116944pilonHSYRG00129 PE=4 SV=1	Hibiscus syriacus	520	590	33.5	54.4	1.7e-66
233	TR	A0A5E4G6M8	PREDICTED: (-)-germacrene D synthase OS=Prunus dulcis OX=3755 GN=ALMOND_2B009491 PE=4 SV=1	Prunus dulcis	566	593	33.2	50.7	1.7e-66
234	TR	A0A4S4F2R7	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_004601 PE=4 SV=1	Camellia sinensis var. sinensis	399	580	36.7	59.8	2.3e-66
235	TR	A0A4Y7JR86	(+)-delta-cadinene synthase OS=Papaver somniferum OX=3469 GN=C5167_024804 PE=4 SV=1	Papaver somniferum	543	588	33.1	51.6	5.5e-66
236	TR	A0A7J9BBL6	(+)-delta-cadinene synthase OS=Gossypium gossypioides OX=34282 GN=Gogos_017722 PE=4 SV=1	Gossypium gossypioides	545	587	50.4	65.9	8.1e-66
237	TR	A0A7J8LCV7	(+)-delta-cadinene synthase OS=Gossypium lobatum OX=34289 GN=Golob_021103 PE=4 SV=1	Gossypium lobatum	517	585	49.6	65.9	8.3e-66
238	TR	A0A0D2R2U6	(+)-delta-cadinene synthase OS=Gossypium raimondii OX=29730 GN=B456_007G316700 PE=4 SV=1	Gossypium raimondii	505	584	33.1	51.8	8.8e-66
239	TR	A0A5D2W4W0	(+)-delta-cadinene synthase OS=Gossypium mustelinum OX=34275 GN=E1A91_D01G079600v1 PE=4 SV=1	Gossypium mustelinum	545	586	49.6	66.4	1.1e-65
240	TR	A0A1U8MPZ7	(+)-delta-cadinene synthase OS=Gossypium hirsutum OX=3635 GN=LOC107940014 PE=4 SV=1	Gossypium hirsutum	545	586	50.4	65.5	1.1e-65
241	TR	A0A7J8YPG3	(+)-delta-cadinene synthase OS=Gossypium aridum OX=34290 GN=Goari_020650 PE=4 SV=1	Gossypium aridum	517	584	50.0	65.9	1.2e-65
242	TR	A0A0D2Q9J7	(+)-delta-cadinene synthase OS=Gossypium raimondii OX=29730 GN=B456_002G080500 PE=4 SV=1	Gossypium raimondii	516	583	50.0	65.5	1.6e-65
243	TR	A0A7J9N616	(+)-delta-cadinene synthase OS=Gossypium schwendimanii OX=34291 GN=Goshw_008343 PE=4 SV=1	Gossypium schwendimanii	549	585	49.6	65.9	1.7e-65
244	TR	A0A7J7HB30	Valerianol synthase OS=Camellia sinensis OX=4442 GN=HYC85_015041 PE=4 SV=1	Camellia sinensis	340	569	43.5	61.5	1.8e-65
245	TR	A0A5B6VEC6	(+)-delta-cadinene synthase OS=Gossypium australe OX=47621 GN=EPI10_002542 PE=4 SV=1	Gossypium australe	545	583	50.4	65.9	3.1e-65
246	TR	A0A7J0DTM1	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_00g0078170 PE=4 SV=1	Actinidia rufa	461	577	34.6	50.7	3.2e-65
247	TR	A0A8J4QQN9	Sesquiterpene synthase OS=Castanea mollissima OX=60419 GN=CMV_024945 PE=4 SV=1	Castanea mollissima	421	573	48.5	64.1	4.4e-65
248	TR	A0A443PC55	Trans-ocimene synthase OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01736000 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	1071	602	32.3	51.8	8.1e-65
249	TR	A0A7J8T952	(+)-delta-cadinene synthase OS=Gossypium davidsonii OX=34287 GN=Godav_024452 PE=4 SV=1	Gossypium davidsonii	517	577	49.1	64.7	1.2e-64
250	TR	D7TLC8	Valencene synthase OS=Vitis vinifera OX=29760 GN=VIT_18s0001g05230 PE=4 SV=1	Vitis vinifera	555	579	48.7	66.1	1.5e-64
